,Girl_Jamie xx
0,produced
1,jamie
2,xx
3,you're
4,beautiful
5,girl
6,hackney
7,y'know
8,clap
9,instrumental
10,i
11,want
12,your
13,love
14,i
15,want
16,your
17,love
18,give
19,me
20,your
21,love
22,girl
23,give
24,me
25,your
26,love
27,i
28,want
29,your
30,love
31,i
32,want
33,your
34,love
35,give
36,me
37,your
38,love
39,girl
40,give
41,me
42,your
43,love
44,i
45,want
46,your
47,love
48,i
49,want
50,your
51,love
52,give
53,me
54,your
55,love
56,girl
57,give
58,me
59,your
60,love
61,i
62,want
63,your
64,love
65,i
66,want
67,your
68,love
69,give
70,me
71,your
72,love
73,girl
74,give
75,me
76,your
77,love
78,i
79,want
80,your
81,love
82,i
83,want
84,your
85,love
86,give
87,me
88,your
89,love
90,girl
91,give
92,me
93,your
94,love
95,i
96,want
97,your
98,love
99,i
100,want
101,your
102,love
103,give
104,me
105,your
106,love
107,girl
108,give
109,me
110,your
111,love
112,i
113,want
114,your
115,love
116,i
117,want
118,your
119,love
120,give
121,me
122,your
123,love
124,girl
125,give
126,me
127,your
128,love
129,i
130,want
131,your
132,love
133,i
134,want
135,your
136,love
137,give
138,me
139,your
140,love
141,girl
142,give
143,me
144,your
145,love
146,clap
147,instrumental
148,i
149,want
150,your
151,love
152,i
153,want
154,your
155,love
156,give
157,me
158,your
159,love
160,girl
161,give
162,me
163,your
164,love
165,i
166,want
167,your
168,love
169,i
170,want
171,your
172,love
173,give
174,me
175,your
176,love
177,girl
178,give
179,me
180,your
181,love
182,i
183,want
184,your
185,love
186,i
187,want
188,your
189,love
190,give
191,me
192,your
193,love
194,girl
195,give
196,me
197,your
198,love
199,i
200,want
201,your
202,love
203,i
204,want
205,your
206,love
207,give
208,me
209,your
210,love
211,girl
212,give
213,me
214,your
215,love
216,i
217,want
218,your
219,love
220,i
221,want
222,your
223,love
224,give
225,me
226,your
227,love
228,girl
229,give
230,me
231,your
232,love
233,i
234,want
235,your
236,love
237,i
238,want
239,your
240,love
241,give
242,me
243,your
244,love
245,girl
246,give
247,me
248,your
249,love
250,i
251,want
252,your
253,love
254,i
255,want
256,your
257,love
258,give
259,me
260,your
261,love
262,girl
263,give
264,me
265,your
266,love
267,i
268,want
269,your
270,love
271,i
272,want
273,your
274,love
275,give
276,me
277,your
278,love
279,girl
280,give
281,me
282,your
283,love
284,girl
285,i
286,know
287,you
288,clap
289,ambient
290,instrumental
291,i
292,want
293,your
294,love
295,i
296,want
297,your
298,love
299,i
300,want
301,your
302,love
303,i
304,want
305,your
306,love
307,i
308,want
309,your
310,love
311,i
312,want
313,your
314,love
315,i
316,want
317,your
318,love
319,i
320,want
321,your
322,love
