,I Will Possess Your Heart_Death Cab for Cutie
0,wish
1,could
2,see
3,potential
4,potential
5,like
6,book
7,elegantly
8,bound
9,language
10,can't
11,read
12,yet
13,gotta
14,spend
15,time
16,love
17,gotta
18,spend
19,time
20,know
21,find
22,love
23,possess
24,heart
25,gotta
26,spend
27,time
28,love
29,gotta
30,spend
31,time
32,know
33,find
34,love
35,possess
36,heart
37,days
38,outside
39,window
40,see
41,reflection
42,slowly
43,pass
44,long
45,mirrored
46,perspective
47,we'll
48,lovers
49,lovers
50,last
51,gotta
52,spend
53,time
54,love
55,gotta
56,spend
57,time
58,know
59,find
60,love
61,possess
62,heart
63,gotta
64,spend
65,time
66,love
67,gotta
68,spend
69,time
70,know
71,find
72,love
73,possess
74,heart
75,post-chorus
76,possess
77,heart
78,possess
79,heart
80,bridge
81,reject
82,advances
83,desperate
84,pleas
85,let
86,let
87,easily
88,easily
89,gotta
90,spend
91,time
92,love
93,gotta
94,spend
95,time
96,know
97,find
98,love
99,possess
100,heart
101,gotta
102,spend
103,time
104,love
105,gotta
106,spend
107,time
108,know
109,find
110,love
111,possess
112,heart
113,gotta
114,spend
115,time
116,love
117,gotta
118,spend
119,time
120,know
121,find
122,love
123,possess
124,heart
125,post-chorus
126,possess
127,heart
128,possess
129,heart
