,Mirrorball_Elbow
0,i
1,plant
2,kind
3,kiss
4,wake
5,baby
6,selfsame
7,face
8,let
9,me
10,sleep
11,street
12,singing
13,my
14,feet
15,dawn
16,gives
17,me
18,shadow
19,i
20,know
21,taller
22,you
23,dear
24,everything
25,changed
26,my
27,sorry
28,name
29,made
30,graffiti
31,i
32,looking
33,someone
34,complete
35,me
36,anymore
37,dear
38,everything
39,changed
40,you
41,make
42,moon
43,mirrorball
44,street's
45,empty
46,stage
47,city's
48,sirens
49,violins
50,everything
51,changed
52,lift
53,love
54,lift
55,love
56,took
57,town
58,town
59,last
60,night
61,kissed
62,like
63,invented
64,i
65,know
66,every
67,step
68,lead
69,me
70,your
71,door
72,know
73,you
74,sleep
75,everything
76,changed
77,you
78,make
79,moon
80,mirrorball
81,street's
82,empty
83,stage
84,city's
85,sirens
86,violins
87,everything
88,changed
89,everything
90,changed
91,everything
92,changed
93,lift
94,love
95,lift
96,love
97,you
98,dear
99,lift
100,love
101,you
102,dear
103,lift
104,love
105,you
106,dear
107,lift
108,love
109,you
110,dear
111,lift
112,love
113,you
114,dear
115,lift
116,love
117,you
118,dear
