,To Binge (Feat. Little Dragon)_Gorillaz
0,yukimi
1,nagano
2,waiting
3,mailbox
4,train
5,passin'
6,hills
7,'til
8,i
9,hear
10,name
11,i'm
12,looking
13,saw
14,cut
15,chains
16,half
17,i
18,want
19,someone
20,rely
21,thunder
22,comes
23,arolling
24,someone
25,rely
26,lightning
27,comes
28,astaring
29,2d
30,i'll
31,wait
32,forgiven
33,maybe
34,i
35,never
36,my
37,star
38,left
39,me
40,take
41,bitter
42,pill
43,shattered
44,feeling
45,well
46,cause
47,lesson
48,learned
49,know
50,i
51,could
52,roll
53,sea
54,know
55,i
56,could
57,she
58,said—it's
59,true
60,yukimi
61,nagano
62,waiting
63,my
64,room
65,i
66,lock
67,door
68,i
69,watch
70,coloured
71,animals
72,across
73,floor
74,i'm
75,looking
76,distance
77,i'm
78,listening
79,whispers
80,oh
81,ain't
82,you're
83,falling
84,feeling
85,you're
86,falling
87,caught
88,cauauauaught
89,2d
90,i'm
91,caught
92,mystery
93,you're
94,my
95,side
96,you
97,still
98,me
99,answer's
100,somewhere
101,deep
102,i'm
103,sorry
104,you're
105,feeling
106,i
107,tell
108,you
109,i
110,love
111,you
112,much
113,days
114,tell
115,you
116,i
117,love
118,you
119,much
120,days
121,true
122,2d
123,yukimi
124,nagano
125,my
126,heart
127,economy
128,due
129,autonomy
130,rolling
131,caught
132,cauauauaught
133,cauauauaught
134,cauauauaught
135,my
136,heart
137,economy
138,due
139,autonomy
140,cauauauaught
141,rolling
142,caught
143,cauauauaught
