,Love Is All Around_Wet Wet Wet
0,i
1,feel
2,my
3,fingers
4,i
5,feel
6,my
7,toes
8,love
9,around
10,me
11,feeling
12,grows
13,written
14,wind
15,everywhere
16,i
17,go
18,you
19,really
20,love
21,me
22,come
23,let
24,show
25,you
26,know
27,i
28,love
29,you
30,i
31,always
32,my
33,mind's
34,made
35,way
36,i
37,feel
38,there's
39,beginning
40,there'll
41,end
42,'cause
43,my
44,love
45,you
46,depend
47,i
48,see
49,your
50,face
51,me
52,i
53,lay
54,my
55,bed
56,i
57,kinda
58,get
59,thinking
60,things
61,you
62,said
63,oh
64,yes
65,i
66,you
67,gave
68,your
69,promise
70,me
71,i
72,gave
73,mine
74,you
75,i
76,need
77,someone
78,beside
79,me
80,everything
81,i
82,you
83,know
84,i
85,love
86,you
87,i
88,always
89,my
90,mind's
91,made
92,way
93,i
94,feel
95,there's
96,beginning
97,there'll
98,end
99,'cause
100,my
101,love
102,you
103,depend
104,got
105,keep
106,moving
107,oh
108,written
109,wind
110,oh
111,everywhere
112,i
113,go
114,yeah
115,oh
116,well
117,you
118,really
119,love
120,me
121,love
122,me
123,love
124,me
125,come
126,let
127,show
128,come
129,let
130,show
131,come
132,let
133,come
134,let
135,come
136,let
137,show
138,baby
139,come
140,come
141,come
142,let
143,show
144,baby
145,come
146,let
147,show
148,come
149,let
150,show
151,baby
152,come
153,let
154,show
