,Angeles_Elliott Smith
0,someone's
1,always
2,coming
3,around
4,trailing
5,new
6,kill
7,says
8,i've
9,seen
10,your
11,picture
12,hundred
13,dollar
14,bill
15,what's
16,game
17,chance
18,you
19,him
20,one
21,real
22,skill
23,glad
24,meet
25,you
26,angeles
27,picking
28,ticket
29,shows
30,there's
31,money
32,made
33,go
34,lose
35,gamble
36,that's
37,history
38,trade
39,you
40,add
41,cards
42,left
43,play
44,zero
45,sign
46,evil
47,angeles
48,start
49,me
50,trying
51,uhhuh
52,uhhuh
53,uhhuh
54,'cause
55,i'm
56,angeles
57,i
58,make
59,you
60,satisfied
61,everything
62,you
63,your
64,secret
65,wishes
66,could
67,right
68,coming
69,true
70,forever
71,my
72,poison
73,arms
74,around
75,you
76,one's
77,gonna
78,fool
79,around
80,us
81,one's
82,gonna
83,fool
84,around
85,us
86,glad
87,meet
88,you
89,angeles
