,Your Body Is a Wonderland_John Mayer
0,got
1,afternoon
2,got
3,room
4,two
5,one
6,thing
7,i've
8,left
9,discover
10,discovering
11,one
12,mile
13,every
14,inch
15,skin
16,like
17,porcelain
18,one
19,pair
20,candy
21,lips
22,bubblegum
23,tongue
24,pre-chorus
25,want
26,love
27,we'll
28,make
29,swim
30,deep
31,sea
32,blankets
33,take
34,big
35,plans
36,break
37,'em
38,bound
39,body
40,wonderland
41,body
42,wonder
43,i'll
44,use
45,hands
46,body
47,wonderland
48,something
49,'bout
50,way
51,hair
52,falls
53,face
54,love
55,shape
56,take
57,crawling
58,towards
59,pillowcase
60,tell
61,go
62,though
63,might
64,leave
65,find
66,i'll
67,never
68,let
69,head
70,hit
71,bed
72,without
73,hand
74,behind
75,pre-chorus
76,want
77,love
78,we'll
79,make
80,swim
81,deep
82,sea
83,blankets
84,take
85,big
86,plans
87,break
88,'em
89,bound
90,body
91,wonderland
92,body
93,wonder
94,i'll
95,use
96,hands
97,body
98,wonderland
99,i'll
100,never
101,speak
102,i'll
103,use
104,hands
105,bridge
106,damn
107,baby
108,frustrate
109,know
110,mine
111,mine
112,mine
113,look
114,good
115,hurts
116,sometimes
117,body
118,wonderland
119,i'll
120,never
121,speak
122,body
123,wonder
124,i'll
125,use
126,hands
127,body
128,wonderland
129,i'll
130,never
131,speak
132,body
133,wonderland
134,i'll
135,use
136,hands
