,Enchanted_Taylor Swift
0,tonight
1,forcing
2,laughter
3,faking
4,smiles
5,old
6,tired
7,lonely
8,place
9,walls
10,insincerity
11,shifting
12,eyes
13,vacancy
14,vanished
15,saw
16,face
17,say
18,enchanting
19,meet
20,eyes
21,whispered
22,"""have"
23,"met"""
24,across
25,room
26,silhouette
27,starts
28,make
29,way
30,playful
31,conversation
32,starts
33,counter
34,quick
35,remarks
36,like
37,passing
38,notes
39,secrecy
40,enchanting
41,meet
42,say
43,enchanted
44,meet
45,night
46,sparkling
47,let
48,go
49,i'm
50,wonderstruck
51,blushing
52,way
53,home
54,i'll
55,spend
56,forever
57,wondering
58,knew
59,enchanted
60,meet
61,lingering
62,question
63,kept
64,2am
65,love
66,wonder
67,'til
68,i'm
69,wide
70,awake
71,i'm
72,pacing
73,back
74,forth
75,wishing
76,door
77,i'd
78,open
79,would
80,say
81,"""hey"""
82,enchanting
83,meet
84,know
85,enchanted
86,meet
87,night
88,sparkling
89,let
90,go
91,i'm
92,wonderstruck
93,blushing
94,way
95,home
96,i'll
97,spend
98,forever
99,wondering
100,knew
101,night
102,flawless
103,let
104,go
105,i'm
106,wonderstruck
107,dancing
108,around
109,alone
110,i'll
111,spend
112,forever
113,wondering
114,knew
115,enchanted
116,meet
117,bridge
118,praying
119,first
120,page
121,storyline
122,ends
123,thoughts
124,echo
125,name
126,see
127,words
128,held
129,back
130,leaving
131,soon
132,enchanted
133,meet
134,breakdown
135,please
136,love
137,someone
138,else
139,please
140,somebody
141,waiting
142,please
143,love
144,someone
145,else
146,please
147,somebody
148,waiting
149,night
150,sparkling
151,let
152,go
153,i'm
154,wonderstruck
155,blushing
156,way
157,home
158,i'll
159,spend
160,forever
161,wondering
162,knew
163,night
164,flawless
165,let
166,go
167,i'm
168,wonderstruck
169,dancing
170,around
171,alone
172,i'll
173,spend
174,forever
175,wondering
176,knew
177,enchanted
178,meet
179,outro
180,please
181,love
182,someone
183,else
184,please
185,somebody
186,waiting
