,If You Could Only See_Tonic
0,you
1,could
2,see
3,way
4,she
5,loves
6,me
7,maybe
8,you
9,would
10,understand
11,i
12,feel
13,way
14,love
15,i
16,must
17,you
18,could
19,see
20,blue
21,her
22,eyes
23,she
24,says
25,she
26,says
27,she
28,loves
29,me
30,well
31,you
32,got
33,your
34,reasons
35,you
36,got
37,your
38,lies
39,you
40,got
41,your
42,manipulations
43,cut
44,me
45,size
46,sayin'
47,you
48,know
49,you
50,you
51,give
52,your
53,love
54,you
55,you
56,could
57,see
58,way
59,she
60,loves
61,me
62,maybe
63,you
64,would
65,understand
66,i
67,feel
68,way
69,love
70,i
71,must
72,you
73,could
74,see
75,blue
76,her
77,eyes
78,she
79,says
80,she
81,says
82,she
83,loves
84,me
85,seems
86,road
87,less
88,traveled
89,shows
90,happiness
91,unraveled
92,you
93,got
94,take
95,little
96,dirt
97,keep
98,you
99,love
100,that's
101,you
102,gotta
103,sayin'
104,you
105,know
106,you
107,you
108,give
109,your
110,love
111,you
112,you're
113,stretching
114,your
115,arms
116,something
117,that's
118,sayin'
119,you
120,love
121,you
122,stand
123,give
124,your
125,heart
126,you
127,you
128,could
129,see
130,way
131,she
132,loves
133,me
134,maybe
135,you
136,would
137,understand
138,i
139,feel
140,way
141,love
142,i
143,must
144,you
145,could
146,see
147,blue
148,her
149,eyes
150,she
151,says
152,she
153,says
154,she
155,loves
156,me
157,sayin'
158,you
159,know
160,you
161,you
162,give
163,your
164,love
165,you
166,you're
167,stretching
168,your
169,arms
170,something
171,that's
172,sayin'
173,you
174,love
175,you
176,stand
177,give
178,your
179,heart
180,you
181,sayin'
182,you
183,know
184,you
185,you
186,give
187,your
188,love
189,you
190,stretching
191,your
192,arms
193,sayin'
194,you
195,love
196,you
197,stand
198,give
199,your
200,heart
201,you
202,you
203,could
204,see
205,way
206,she
207,loves
208,me
209,maybe
210,you
211,would
212,understand
213,i
214,feel
215,way
216,love
217,i
218,must
219,you
220,could
221,see
222,blue
223,her
224,eyes
225,she
226,says
227,she
228,says
229,she
230,loves
231,me
