,Wake Me Up_Ed Sheeran
0,ink
1,skin
2,name
3,take
4,passport
5,replace
6,see
7,could
8,without
9,tan
10,left
11,hand
12,fourth
13,finger
14,meets
15,knuckle
16,run
17,hot
18,bath
19,fill
20,bubbles
21,'cause
22,maybe
23,loveable
24,maybe
25,snowflake
26,eyes
27,turn
28,green
29,gray
30,winter
31,i'll
32,hold
33,cold
34,place
35,never
36,cut
37,hair
38,'cause
39,love
40,way
41,flick
42,shoulder
43,hook
44,never
45,know
46,beautiful
47,maybe
48,i'm
49,love
50,wake
51,would
52,ever
53,feel
54,guilty
55,could
56,make
57,cup
58,tea
59,open
60,eyes
61,right
62,way
63,know
64,love
65,shrek
66,'cause
67,we've
68,watched
69,times
70,maybe
71,hoping
72,fairy-tale
73,dvd
74,breaks
75,today
76,got
77,vcr
78,i've
79,never
80,owned
81,blu-ray
82,true
83,say
84,know
85,i've
86,always
87,shit
88,computer
89,games
90,brother
91,always
92,beats
93,lost
94,go
95,across
96,chuck
97,controllers
98,tv
99,laugh
100,asking
101,i'm
102,gonna
103,home
104,next
105,week
106,lie
107,'til
108,fall
109,asleep
110,flutter
111,eye
112,lash
113,cheek
114,sheets
115,hook
116,never
117,know
118,beautiful
119,maybe
120,i'm
121,love
122,wake
123,think
124,hate
125,smell
126,smoke
127,always
128,try
129,get
130,stop
131,drink
132,much
133,get
134,drunk
135,lot
136,i’ll
137,take
138,beach
139,walk
140,along
141,sand
142,i'll
143,make
144,heart
145,pendant
146,pebble
147,held
148,hand
149,i'll
150,carve
151,like
152,necklace
153,heart
154,falls
155,chest
156,piece
157,piece
158,beach
159,falls
160,needs
161,rests
162,peacefully
163,need
164,breathe
165,feel
166,heart
167,cos
168,maybe
169,i'm
170,love
171,wake
172,maybe
173,i'm
174,love
175,wake
176,maybe
177,fell
178,love
179,woke
