,Are You Gonna Kiss Me or Not_Thompson Square
0,keifer
1,sitting
2,your
3,momma's
4,roof
5,talking
6,'bout
7,everything
8,moon
9,smell
10,honeysuckle
11,your
12,perfume
13,i
14,could
15,think
16,my
17,next
18,move
19,keifer
20,oh
21,you
22,shy
23,i
24,maybe
25,that's
26,hard
27,believe
28,you
29,smiled
30,said
31,me
32,keifer
33,shawna
34,you
35,gonna
36,kiss
37,me
38,gonna
39,i
40,think
41,you
42,know
43,i
44,like
45,you
46,lot
47,you're
48,miss
49,your
50,shot
51,you
52,gonna
53,kiss
54,me
55,keifer
56,best
57,dang
58,kiss
59,i
60,ever
61,except
62,long
63,one
64,i
65,knew
66,i
67,wanted
68,thing
69,last
70,sooner
71,later
72,i'd
73,ask
74,your
75,hand
76,keifer
77,i
78,took
79,chance
80,bought
81,wedding
82,band
83,i
84,got
85,one
86,knee
87,you
88,smiled
89,said
90,me
91,keifer
92,shawna
93,you
94,gonna
95,kiss
96,me
97,gonna
98,i
99,think
100,you
101,know
102,i
103,love
104,you
105,lot
106,i
107,think
108,we've
109,got
110,real
111,good
112,shot
113,you
114,gonna
115,kiss
116,me
117,keifer
118,shawna
119,planned
120,middle
121,june
122,wedding
123,cake
124,honeymoon
125,keifer
126,your
127,momma
128,cried
129,you
130,walked
131,aisle
132,keifer
133,shawna
134,preacher
135,man
136,said
137,say
138,i
139,i
140,you
141,keifer
142,i
143,lifted
144,veil
145,saw
146,your
147,pretty
148,smile
149,i
150,said
151,you
152,gonna
153,kiss
154,me
155,keifer
156,shawna
157,gonna
158,look
159,love
160,got
161,ain't
162,never
163,gonna
164,stop
165,you
166,gonna
167,kiss
168,me
169,tag
170,keifer
171,yeah
172,baby
173,i
174,love
175,you
176,lot
177,keifer
178,shawna
179,i
180,really
181,think
182,we've
183,got
184,shot
185,keifer
186,you
187,gonna
188,kiss
189,me
