,Ain't Nobody (Loves Me Better)_Felix Jaehn
0,produced
1,felix
2,jaehn
3,jasmine
4,thompson
5,captured
6,effortlessly
7,that's
8,way
9,happened
10,naturally
11,know
12,love
13,next
14,thing
15,felt
16,holding
17,close
18,gonna
19,let
20,go
21,jasmine
22,thompson
23,we're
24,flyin'
25,stars
26,hope
27,night
28,last
29,forever
30,ohwhoaohoh
31,jasmine
32,thompson
33,ain't
34,nobody
35,loves
36,better
37,makes
38,happy
39,makes
40,feel
41,way
42,ain't
43,nobody
44,loves
45,better
46,jasmine
47,thompson
48,i've
49,waitin'
50,long
51,knew
52,would
53,heard
54,song
55,filled
56,heart
57,kiss
58,ya
59,gave
60,freedom
61,knew
62,could
63,resist
64,needed
65,someone
66,jasmine
67,thompson
68,we're
69,flyin'
70,stars
71,hope
72,night
73,last
74,forever
75,ohwoahohoh
76,jasmine
77,thompson
78,ain't
79,nobody
80,loves
81,better
82,makes
83,happy
84,makes
85,feel
86,way
87,ain't
88,nobody
89,loves
90,better
91,jasmine
92,thompson
93,make
94,wish
95,upon
96,star
97,hope
98,night
99,last
100,forever
101,make
102,wish
103,upon
104,star
105,hope
106,night
107,last
108,forever
109,jasmine
110,thompson
111,ain't
112,nobody
113,loves
114,better
115,makes
116,happy
117,makes
118,feel
119,way
120,ain't
121,nobody
122,loves
123,better
124,jasmine
125,thompson
126,first
127,put
128,arms
129,around
130,put
131,charms
132,around
133,stare
134,other's
135,eyes
136,see
137,surprise
138,got
139,feeling
140,would
141,treasure
142,love
143,deep
144,cannot
145,measure
146,jasmine
147,thompson
148,ain't
149,nobody
150,loves
151,better
152,makes
153,happy
154,makes
155,feel
156,way
157,ain't
158,nobody
159,loves
160,better
161,ain't
162,nobody
163,loves
164,better
165,makes
166,happy
167,makes
168,feel
169,way
170,ain't
171,nobody
172,loves
173,better
