,Love The Way You Lie_Eminem
0,rihanna
1,gonna
2,stand
3,watch
4,burn
5,well
6,that's
7,right
8,like
9,way
10,hurts
11,gonna
12,stand
13,hear
14,cry
15,well
16,that's
17,right
18,love
19,way
20,lie
21,love
22,way
23,lie
24,eminem
25,can't
26,tell
27,really
28,tell
29,feels
30,like
31,right
32,there's
33,steel
34,knife
35,windpipe
36,can't
37,breathe
38,still
39,fight
40,fight
41,long
42,wrong
43,feels
44,right
45,like
46,i'm
47,flight
48,high
49,love
50,drunk
51,hate
52,like
53,i'm
54,huffin'
55,paint
56,love
57,suffer
58,suffocate
59,right
60,i'm
61,drown
62,resuscitates
63,fuckin'
64,hates
65,love
66,—
67,"""wait"
68,"going"""
69,—
70,"""i'm"
71,leaving
72,"you"""
73,—
74,"""no"
75,ain't
76,come
77,"back"""
78,—
79,we're
80,runnin'
81,right
82,back
83,go
84,insane
85,'cause
86,goin'
87,good
88,goin'
89,great
90,i'm
91,superman
92,wind
93,back
94,lois
95,lane
96,bad
97,awful
98,feel
99,ashamed
100,snapped
101,"""who's"
102,"dude"""
103,even
104,know
105,name
106,laid
107,hands
108,i'll
109,never
110,stoop
111,low
112,guess
113,know
114,strength
115,rihanna
116,gonna
117,stand
118,watch
119,burn
120,well
121,that's
122,right
123,like
124,way
125,hurts
126,gonna
127,stand
128,hear
129,cry
130,well
131,that's
132,right
133,love
134,way
135,lie
136,love
137,way
138,lie
139,love
140,way
141,lie
142,eminem
143,ever
144,love
145,somebody
146,much
147,barely
148,breathe
149,'em
150,meet
151,neither
152,one
153,even
154,know
155,hit
156,'em
157,got
158,warm
159,fuzzy
160,feelin'
161,yeah
162,chills
163,used
164,get
165,'em
166,gettin'
167,fuckin'
168,sick
169,lookin'
170,'em
171,swore
172,never
173,hit
174,'em
175,never
176,nothin'
177,hurt
178,'em
179,other's
180,face
181,spewin'
182,venom
183,words
184,spit
185,'em
186,push
187,pull
188,other's
189,hair
190,scratch
191,claw
192,bit
193,'em
194,throw
195,'em
196,pin
197,'em
198,lost
199,moments
200,'em
201,rage
202,took
203,controls
204,say
205,best
206,go
207,separate
208,ways
209,guess
210,know
211,ya
212,'cause
213,today
214,yesterday
215,yesterday
216,different
217,day
218,sound
219,like
220,broken
221,records
222,playin'
223,promised
224,next
225,time
226,show
227,restraint
228,get
229,another
230,chance
231,life
232,nintendo
233,game
234,lied
235,get
236,watch
237,leave
238,window
239,guess
240,that's
241,call
242,window
243,pane
244,rihanna
245,gonna
246,stand
247,watch
248,burn
249,well
250,that's
251,right
252,like
253,way
254,hurts
255,gonna
256,stand
257,hear
258,cry
259,well
260,that's
261,right
262,love
263,way
264,lie
265,love
266,way
267,lie
268,love
269,way
270,lie
271,eminem
272,know
273,said
274,things
275,things
276,mean
277,fall
278,back
279,patterns
280,routine
281,temper's
282,bad
283,mine
284,comes
285,love
286,blinded
287,baby
288,please
289,come
290,back
291,baby
292,maybe
293,relationship
294,crazy
295,seems
296,maybe
297,that's
298,happens
299,tornado
300,meets
301,volcano
302,know
303,love
304,much
305,walk
306,away
307,though
308,come
309,inside
310,pick
311,bags
312,sidewalk
313,hear
314,sincerity
315,voice
316,talk
317,told
318,fault
319,look
320,eyeball
321,next
322,time
323,i'm
324,pissed
325,i'll
326,aim
327,fist
328,drywall
329,next
330,time
331,next
332,time
333,apologize
334,even
335,though
336,know
337,lies
338,i'm
339,tired
340,games
341,want
342,back
343,know
344,i'm
345,liar
346,ever
347,tries
348,fuckin'
349,leave
350,i'ma
351,tie
352,bed
353,set
354,house
355,fire
356,gonna
357,rihanna
358,gonna
359,stand
360,watch
361,burn
362,well
363,that's
364,right
365,like
366,way
367,hurts
368,gonna
369,stand
370,hear
371,cry
372,well
373,that's
374,right
375,love
376,way
377,lie
378,love
379,way
380,lie
381,love
382,way
383,lie
