,I'm Happy Just to Dance with You_The Beatles
0,dance
1,i
2,think
3,i'll
4,love
5,you
6,i'm
7,happy
8,you
9,dance
10,me
11,i
12,want
13,kiss
14,hold
15,your
16,hand
17,funny
18,try
19,understand
20,really
21,nothing
22,else
23,i'd
24,rather
25,'cause
26,i'm
27,happy
28,dance
29,you
30,i
31,need
32,hug
33,hold
34,you
35,tight
36,i
37,want
38,dance
39,you
40,night
41,world
42,there's
43,nothing
44,i
45,would
46,rather
47,'cause
48,i'm
49,happy
50,dance
51,you
52,dance
53,you
54,everything
55,i
56,need
57,dance
58,i
59,think
60,i'll
61,love
62,you
63,i'm
64,happy
65,you
66,dance
67,me
68,somebody
69,tries
70,take
71,my
72,place
73,let's
74,pretend
75,can't
76,see
77,his
78,face
79,world
80,there's
81,nothing
82,i
83,would
84,rather
85,'cause
86,i'm
87,happy
88,dance
89,you
90,dance
91,you
92,everything
93,i
94,need
95,dance
96,i
97,think
98,i'll
99,love
100,you
101,i'm
102,happy
103,you
104,dance
105,me
106,somebody
107,tries
108,take
109,my
110,place
111,let's
112,pretend
113,can't
114,see
115,his
116,face
117,world
118,there's
119,nothing
120,i
121,would
122,rather
123,i've
124,discovered
125,i'm
126,love
127,you
128,'cause
129,i'm
130,happy
131,dance
132,you
