,I'm Looking Through You_The Beatles
0,two
1,false
2,starts
3,us
4,version
5,i'm
6,looking
7,you
8,you
9,go
10,i
11,thought
12,i
13,knew
14,you
15,i
16,know
17,you
18,look
19,different
20,you
21,changed
22,i'm
23,looking
24,you
25,you're
26,your
27,lips
28,moving
29,i
30,cannot
31,hear
32,your
33,voice
34,soothing
35,words
36,clear
37,you
38,sound
39,different
40,i've
41,learned
42,game
43,i'm
44,looking
45,you
46,you're
47,tell
48,me
49,you
50,treat
51,me
52,right
53,love
54,nasty
55,habit
56,disappearing
57,overnight
58,you're
59,thinking
60,me
61,old
62,way
63,you
64,me
65,today
66,difference
67,you're
68,i'm
69,looking
70,you
71,you're
72,nowhere
73,tell
74,me
75,you
76,treat
77,me
78,right
79,love
80,nasty
81,habit
82,disappearing
83,overnight
84,i'm
85,looking
86,you
87,you
88,go
89,i
90,thought
91,i
92,knew
93,you
94,i
95,know
96,you
97,look
98,different
99,you
100,changed
101,i'm
102,looking
103,you
104,you're
105,yeah
106,oh
107,baby
108,you've
109,changed
110,ah
111,i'm
112,looking
113,you
114,yeah
115,i'm
116,looking
117,you
118,you
119,changed
120,you
121,changed
122,you
123,changed
124,you
125,changed
