,Night Changes_One Direction
0,zayn
1,&
2,liam
3,going
4,tonight
5,changes
6,something
7,red
8,mother
9,like
10,kind
11,dress
12,everything
13,never
14,showing
15,driving
16,fast
17,moon
18,breaking
19,hair
20,heading
21,something
22,forget
23,regrets
24,really
25,wants
26,harry
27,we're
28,getting
29,older
30,baby
31,i've
32,thinking
33,lately
34,ever
35,drive
36,crazy
37,fast
38,night
39,changes
40,everything
41,ever
42,dreamed
43,disappearing
44,wake
45,there's
46,nothing
47,afraid
48,even
49,night
50,changes
51,never
52,change
53,louis
54,&
55,niall
56,chasing
57,tonight
58,doubts
59,running
60,'round
61,head
62,he's
63,waiting
64,hides
65,behind
66,cigarette
67,heart
68,beating
69,loud
70,want
71,stop
72,moving
73,fast
74,moon
75,lighting
76,skin
77,falling
78,even
79,know
80,yet
81,regrets
82,really
83,wants
84,harry
85,we're
86,getting
87,older
88,baby
89,i've
90,thinking
91,lately
92,ever
93,drive
94,crazy
95,fast
96,night
97,changes
98,everything
99,ever
100,dreamed
101,disappearing
102,wake
103,there's
104,nothing
105,afraid
106,even
107,night
108,changes
109,never
110,change
111,bridge
112,zayn
113,going
114,tonight
115,changes
116,something
117,red
118,mother
119,like
120,kind
121,dress
122,reminds
123,missing
124,piece
125,innocence
126,lost
127,harry
128,we're
129,getting
130,older
131,baby
132,i've
133,thinking
134,lately
135,ever
136,drive
137,crazy
138,fast
139,night
140,changes
141,everything
142,ever
143,dreamed
144,disappearing
145,wake
146,there's
147,nothing
148,afraid
149,even
150,night
151,changes
152,never
153,change
154,baby
155,never
156,change
157,baby
158,never
159,change
