,The Trapeze Swinger_Iron & Wine
0,please
1,remember
2,me
3,happily
4,rosebush
5,laughing
6,bruises
7,my
8,chin
9,time
10,counted
11,every
12,black
13,car
14,passing
15,your
16,house
17,beneath
18,hill
19,someone
20,caught
21,us
22,kitchen
23,maps
24,mountain
25,range
26,piggy
27,bank
28,vision
29,removed
30,mention
31,please
32,remember
33,me
34,fondly
35,i
36,heard
37,someone
38,you're
39,still
40,pretty
41,went
42,say
43,pearly
44,gates
45,eloquent
46,graffiti
47,like
48,we'll
49,meet
50,fuck
51,man
52,tell
53,my
54,mother
55,worry
56,angels
57,great
58,handshakes
59,always
60,done
61,hurry
62,please
63,remember
64,me
65,halloween
66,making
67,fools
68,neighbors
69,faces
70,painted
71,white
72,midnight
73,we'd
74,forgotten
75,one
76,another
77,morning
78,came
79,i
80,ashamed
81,seems
82,silly
83,season
84,left
85,world
86,returned
87,you're
88,lit
89,city
90,please
91,remember
92,me
93,mistakenly
94,window
95,tallest
96,tower
97,calling
98,passersby
99,much
100,high
101,see
102,empty
103,road
104,happy
105,hour
106,gleam
107,resonate
108,like
109,gates
110,around
111,holy
112,kingdom
113,words
114,like
115,lost
116,found
117,look
118,someone
119,save
120,temptation
121,please
122,remember
123,me
124,dream
125,rugburned
126,babies
127,among
128,fallen
129,trees
130,fast
131,asleep
132,beside
133,lions
134,ladies
135,called
136,you
137,you
138,like
139,even
140,might
141,give
142,gift
143,your
144,behavior
145,fleeting
146,chance
147,see
148,trapeze
149,swinger
150,high
151,savior
152,please
153,remember
154,me
155,my
156,misery
157,lost
158,me
159,i
160,wanted
161,dogs
162,love
163,rain
164,chasing
165,trains
166,colored
167,birds
168,running
169,circles
170,around
171,well
172,spells
173,wall
174,behind
175,st
176,peter
177,bright
178,cinder
179,gray
180,spray
181,paint
182,hell
183,see
184,forever
185,please
186,remember
187,me
188,seldomly
189,car
190,behind
191,carnival
192,my
193,hand
194,your
195,knees
196,you
197,turned
198,me
199,said
200,trapeze
201,act
202,wonderful
203,never
204,meant
205,last
206,clown
207,passed
208,saw
209,me
210,come
211,anger
212,filled
213,circus
214,dogs
215,parking
216,lot
217,element
218,danger
219,please
220,remember
221,me
222,finally
223,my
224,uphill
225,clawing
226,my
227,dear
228,i
229,make
230,pearly
231,gates
232,i'll
233,my
234,best
235,make
236,drawing
237,god
238,lucifer
239,boy
240,girl
241,angel
242,kissing
243,sinner
244,monkey
245,man
246,marching
247,band
248,around
249,frightened
250,trapeze
251,swinger
