,I Wanna_The All-American Rejects
0,i
1,never
2,thought
3,i
4,blind
5,i
6,finally
7,see
8,truth
9,me
10,you
11,tonight
12,you
13,can't
14,imagine
15,i'm
16,your
17,side
18,never
19,gonna
20,truth
21,far
22,you
23,prechorus
24,you
25,hear
26,me
27,say
28,throw
29,me
30,away
31,there's
32,way
33,i
34,gotta
35,hold
36,you
37,somehow
38,i
39,wanna
40,i
41,wanna
42,i
43,wanna
44,touch
45,you
46,you
47,wanna
48,touch
49,me
50,every
51,day
52,i
53,time
54,loves
55,perfect
56,crime
57,i
58,wanna
59,i
60,wanna
61,i
62,wanna
63,touch
64,you
65,you
66,wanna
67,touch
68,me
69,every
70,way
71,set
72,me
73,free
74,put
75,your
76,hands
77,me
78,take
79,everything
80,i
81,know
82,you'll
83,break
84,i
85,give
86,my
87,life
88,away
89,far
90,you
91,prechorus
92,you
93,hear
94,me
95,say
96,throw
97,me
98,away
99,there's
100,way
101,i
102,gotta
103,hold
104,you
105,somehow
106,i
107,wanna
108,i
109,wanna
110,i
111,wanna
112,touch
113,you
114,you
115,wanna
116,touch
117,me
118,every
119,day
120,i
121,time
122,love's
123,perfect
124,crime
125,i
126,wanna
127,i
128,wanna
129,i
130,wanna
131,touch
132,you
133,you
134,wanna
135,touch
136,me
137,every
138,way
139,set
140,me
141,free
142,put
143,your
144,hands
145,me
146,tonight
147,i'm
148,weak
149,tonight
150,i'm
151,weak
152,another
153,day
154,without
155,you
156,i
157,can't
158,sleep
159,i
160,can't
161,sleep
162,i
163,gave
164,away
165,world
166,you
167,hear
168,me
169,say
170,throw
171,me
172,away
173,throw
174,me
175,away
176,there's
177,way
178,i
179,gotta
180,hold
181,you
182,somehow
183,i
184,wanna
185,i
186,wanna
187,i
188,wanna
189,touch
190,you
191,you
192,wanna
193,touch
194,me
195,every
196,day
197,i
198,time
199,loves
200,perfect
201,crime
202,i
203,wanna
204,i
205,wanna
206,i
207,wanna
208,touch
209,you
210,you
211,wanna
212,touch
213,me
214,every
215,way
216,set
217,me
218,free
219,put
220,your
221,hands
222,me
223,i
224,wanna
225,i
226,wanna
227,i
228,wanna
229,touch
230,you
231,you
232,wanna
233,touch
234,me
235,every
236,day
237,i
238,time
239,love's
240,perfect
241,crime
242,i
243,wanna
244,i
245,wanna
246,i
247,wanna
248,touch
249,you
250,you
251,wanna
252,touch
253,me
254,every
255,way
256,set
257,me
258,free
259,put
260,your
261,hands
262,me
