,Tiny Vessels_Death Cab for Cutie
0,moment
1,know
2,told
3,loved
4,touch
5,skin
6,think
7,beautiful
8,mean
9,thing
10,yeah
11,beautiful
12,mean
13,thing
14,spent
15,two
16,weeks
17,silver
18,lake
19,california
20,sun
21,cascading
22,face
23,girl
24,light
25,brown
26,streaks
27,beautiful
28,mean
29,thing
30,yeah
31,beautiful
32,mean
33,thing
34,bridge
35,wanted
36,believe
37,words
38,speaking
39,moved
40,together
41,dark
42,friends
43,telling
44,playful
45,misspellings
46,every
47,bite
48,gave
49,left
50,mark
51,tiny
52,vessels
53,oozed
54,neck
55,formed
56,bruises
57,said
58,want
59,fade
60,day
61,see
62,dark
63,grey
64,clouds
65,distance
66,moving
67,closer
68,every
69,hour
70,ask
71,"""is"
72,something
73,"wrong"""
74,think
75,"""you're"
76,damn
77,right
78,can't
79,talk
80,"now"""
81,can't
82,talk
83,one
84,last
85,touch
86,go
87,we'll
88,pretend
89,meant
90,something
91,much
92,vile
93,cheap
94,beautiful
95,mean
96,thing
97,yeah
98,beautiful
99,mean
100,thing
101,yeah
102,beautiful
103,mean
104,thing
