,Here's To The Night_EVE 6
0,denied
1,lied
2,never
3,kind
4,day
5,day
6,love
7,i'm
8,gonna
9,gone
10,good
11,willing
12,cool
13,tonight
14,here's
15,toast
16,hear
17,well
18,here's
19,nights
20,felt
21,alive
22,here's
23,tears
24,knew
25,cry
26,here's
27,goodbye
28,tomorrow's
29,gonna
30,come
31,soon
32,put
33,name
34,line
35,along
36,place
37,time
38,wanna
39,stay
40,go
41,wanna
42,ditch
43,logical
44,pre-chorus
45,here's
46,toast
47,hear
48,well
49,here's
50,nights
51,felt
52,alive
53,here's
54,tears
55,knew
56,cry
57,here's
58,goodbye
59,tomorrow's
60,gonna
61,come
62,soon
63,bridge
64,time
65,froze
66,motion
67,can't
68,stay
69,hour
70,two
71,let
72,let
73,go
74,let
75,let
76,go
77,pre-chorus
78,here's
79,toast
80,hear
81,well
82,here's
83,nights
84,felt
85,alive
86,here's
87,tears
88,knew
89,cry
90,here's
91,good
92,bye
93,tomorrow's
94,gonna
95,come
96,soon
97,soon
98,here's
99,nights
100,felt
101,alive
102,here's
103,tears
104,knew
105,cry
106,here's
107,good
108,bye
109,tomorrow's
110,gonna
111,come
112,soon
