,Nothing Better_The Postal Service
0,ben
1,gibbard
2,someone
3,please
4,call
5,surgeon
6,crack
7,my
8,ribs
9,repair
10,broken
11,heart
12,you're
13,deserting
14,better
15,company
16,i
17,can't
18,accept
19,i
20,block
21,door
22,like
23,goalie
24,tending
25,net
26,third
27,quarter
28,tiedgame
29,rivalry
30,prechorus
31,ben
32,gibbard
33,say
34,make
35,right
36,i
37,swear
38,i'll
39,my
40,best
41,comply
42,ben
43,gibbard
44,tell
45,me
46,i
47,right
48,think
49,could
50,nothing
51,better
52,making
53,you
54,my
55,bride
56,slowly
57,growing
58,old
59,together
60,jen
61,wood
62,i
63,feel
64,i
65,must
66,interject
67,you're
68,getting
69,carried
70,away
71,feeling
72,sorry
73,yourself
74,revisions
75,gaps
76,history
77,let
78,me
79,help
80,you
81,remember
82,i've
83,made
84,charts
85,graphs
86,finally
87,make
88,clear
89,i've
90,prepared
91,lecture
92,i
93,leave
94,prechorus
95,jen
96,wood
97,ben
98,gibbard
99,please
100,back
101,away
102,let
103,me
104,go
105,i
106,can't
107,my
108,darling
109,i
110,love
111,you
112,oh
113,oh
114,ben
115,gibbard
116,jen
117,wood
118,tell
119,me
120,i
121,right
122,think
123,could
124,nothing
125,better
126,making
127,you
128,my
129,bride
130,slowly
131,growing
132,old
133,together
134,tell
135,me
136,i
137,right
138,you
139,feed
140,me
141,lines
142,idealistic
143,future
144,tell
145,me
146,i
147,right
148,your
149,heart
150,heal
151,right
152,you
153,keep
154,tearing
155,sutures
156,ben
157,gibbard
158,jen
159,wood
160,i
161,admit
162,i
163,made
164,mistakes
165,i
166,swear
167,i'll
168,never
169,wrong
170,you
171,you've
172,got
173,lure
174,i
175,can't
176,deny
177,you've
178,your
179,chance
180,say
181,goodbye
182,say
183,goodbye
