,Love Street_The Doors
0,lives
1,love
2,street
3,lingers
4,long
5,love
6,street
7,house
8,garden
9,would
10,like
11,see
12,happens
13,robes
14,monkeys
15,lazy
16,diamond
17,studded
18,flunkies
19,wisdom
20,knows
21,piano
22,solo
23,bridge
24,wisdom
25,knows
26,see
27,live
28,love
29,street
30,there's
31,store
32,creatures
33,meet
34,wonder
35,summer
36,sunday
37,year
38,guess
39,like
40,fine
41,far
42,lives
43,love
44,street
45,lingers
46,long
47,love
48,street
49,house
50,garden
51,would
52,like
53,see
54,happens
55,outro
56,la
57,la
58,la
59,la-la-la-la
60,la
61,la
62,la
63,la-la-la-la
64,la
65,la
66,la
67,la-la-la-la
68,la
69,la
70,la
71,la-la-la-la
