,Sail Away_David Gray
0,sail
1,away
2,me
3,honey
4,i
5,put
6,my
7,heart
8,your
9,hands
10,sail
11,away
12,me
13,honey
14,sail
15,away
16,me
17,i
18,wanna
19,hold
20,you
21,crazy
22,skies
23,wild
24,me
25,winter
26,howling
27,my
28,face
29,everything
30,i
31,held
32,dear
33,disappeared
34,without
35,trace
36,oh
37,times
38,i've
39,tasted
40,love
41,never
42,knew
43,quite
44,i
45,little
46,darling
47,you
48,hear
49,me
50,never
51,needed
52,you
53,bad
54,spinning
55,round
56,inside
57,my
58,head
59,sail
60,away
61,me
62,honey
63,i
64,put
65,my
66,heart
67,your
68,hands
69,sail
70,away
71,me
72,honey
73,sail
74,away
75,me
76,i
77,wanna
78,hold
79,you
80,i've
81,talking
82,drunken
83,gibberish
84,falling
85,bars
86,trying
87,find
88,explanation
89,way
90,people
91,ever
92,come
93,far
94,sail
95,away
96,me
97,honey
98,i
99,put
100,my
101,heart
102,your
103,hands
104,sail
105,away
106,me
107,honey
108,sail
109,away
110,me
111,i
112,wanna
113,hold
114,you
115,sail
116,away
117,me
118,honey
119,i
120,put
121,my
122,heart
123,your
124,hands
125,sail
126,away
127,me
128,honey
129,sail
130,away
131,me
132,i
133,wanna
134,hold
135,you
