,I Have Nothing_Whitney Houston
0,share
1,my
2,life
3,take
4,me
5,i
6,i'll
7,never
8,change
9,my
10,colors
11,you
12,take
13,my
14,love
15,i'll
16,never
17,ask
18,much
19,you
20,everything
21,you
22,prechorus
23,i
24,really
25,need
26,look
27,much
28,i
29,wanna
30,go
31,you
32,follow
33,i
34,hold
35,back
36,passion
37,inside
38,can't
39,run
40,myself
41,there's
42,nowhere
43,hide
44,make
45,me
46,close
47,one
48,door
49,i
50,wanna
51,hurt
52,anymore
53,stay
54,my
55,arms
56,you
57,dare
58,must
59,i
60,imagine
61,you
62,walk
63,away
64,me
65,i
66,nothing
67,nothing
68,nothing
69,i
70,you
71,you
72,you
73,you
74,you
75,you
76,see
77,right
78,heart
79,me
80,you
81,break
82,my
83,walls
84,strength
85,your
86,love
87,mm
88,i
89,never
90,knew
91,love
92,like
93,i've
94,known
95,you
96,memory
97,survive
98,one
99,i
100,hold
101,prechorus
102,i
103,really
104,need
105,look
106,much
107,i
108,wanna
109,go
110,you
111,follow
112,i
113,hold
114,back
115,passion
116,inside
117,i
118,can't
119,run
120,myself
121,there's
122,nowhere
123,hide
124,your
125,love
126,i'll
127,remember
128,forever
129,make
130,me
131,close
132,one
133,door
134,i
135,wanna
136,hurt
137,anymore
138,stay
139,my
140,arms
141,you
142,dare
143,must
144,i
145,imagine
146,you
147,walk
148,away
149,me
150,i
151,nothing
152,nothing
153,nothing
154,make
155,me
156,close
157,one
158,door
159,i
160,wanna
161,hurt
162,anymore
163,stay
164,my
165,arms
166,you
167,dare
168,must
169,i
170,imagine
171,you
172,walk
173,away
174,me
175,walk
176,away
177,me
178,you
179,dare
180,walk
181,away
182,me
183,i
184,nothing
185,nothing
186,nothing
187,i
188,you
189,you
190,i
191,you
192,oh
193,you
