,Cry Me Out_Pixie Lott
0,i
1,got
2,your
3,emails
4,you
5,get
6,females
7,you
8,what's
9,my
10,heart
11,your
12,head
13,anyway
14,mate
15,you're
16,late
17,you
18,worth
19,wait
20,you
21,my
22,hands
23,since
24,you
25,blew
26,your
27,last
28,chance
29,you
30,played
31,me
32,you'll
33,cry
34,me
35,you'll
36,cry
37,me
38,tears
39,fall
40,mean
41,nothing
42,time
43,get
44,yourself
45,baby
46,you
47,ain't
48,baby
49,there's
50,way
51,back
52,you
53,keep
54,talkin'
55,baby
56,i'm
57,walkin'
58,away
59,i
60,found
61,you
62,messed
63,me
64,i
65,broken
66,back
67,i
68,believed
69,you
70,i
71,need
72,ya
73,pic
74,your
75,phone
76,proves
77,you
78,alone
79,she
80,you
81,yeah
82,i
83,care
84,we're
85,you'll
86,cry
87,me
88,you'll
89,cry
90,me
91,tears
92,fall
93,mean
94,nothing
95,time
96,get
97,yourself
98,baby
99,you
100,ain't
101,baby
102,there's
103,way
104,back
105,you
106,keep
107,talkin'
108,baby
109,i'm
110,walkin'
111,away
112,gonna
113,cry
114,me
115,gonna
116,cry
117,me
118,boy
119,ain't
120,doubt
121,gonna
122,cry
123,me
124,hurt
125,little
126,bit
127,boy
128,better
129,get
130,used
131,you
132,keep
133,talkin'
134,baby
135,i'm
136,walkin'
137,away
138,you'll
139,cry
140,me
141,you'll
142,cry
143,me
144,tears
145,fall
146,mean
147,nothing
148,time
149,get
150,yourself
151,'cause
152,baby
153,you
154,ain't
155,baby
156,there's
157,way
158,back
159,you
160,keep
161,talkin'
162,baby
163,i'm
164,walkin'
165,away
166,you'll
167,cry
168,me
169,you'll
170,cry
171,me
