,The Power Of Love_Céline Dion
0,whispers
1,morning
2,lovers
3,sleeping
4,tight
5,rolling
6,like
7,thunder
8,look
9,eyes
10,hold
11,whole
12,body
13,feel
14,move
15,make
16,voice
17,warm
18,tender
19,love
20,could
21,forsake
22,'cause
23,i'm
24,lady
25,man
26,whenever
27,reach
28,i'll
29,lost
30,i'm
31,feeling
32,lying
33,arms
34,world
35,outside's
36,much
37,take
38,ends
39,i'm
40,even
41,though
42,may
43,times
44,seems
45,i'm
46,far
47,away
48,never
49,wonder
50,'cause
51,always
52,side
53,'cause
54,i'm
55,lady
56,man
57,whenever
58,reach
59,i'll
60,we're
61,heading
62,something
63,somewhere
64,i've
65,never
66,sometimes
67,frightened
68,i'm
69,ready
70,learn
71,power
72,love
73,bridge
74,sound
75,heart
76,beating
77,made
78,clear
79,suddenly
80,feeling
81,can't
82,go
83,light
84,years
85,away
86,'cause
87,i'm
88,lady
89,man
90,whenever
91,reach
92,i'm
93,gonna
94,we're
95,heading
96,something
97,somewhere
98,i've
99,never
100,sometimes
101,frightened
102,i'm
103,ready
104,learn
105,power
106,love
107,outro
108,power
109,love
110,power
111,love
112,sometimes
113,frightened
114,i'm
115,ready
116,learn
117,power
118,love
119,power
120,love
