,Marry You_Bruno Mars
0,beautiful
1,night
2,we're
3,looking
4,something
5,dumb
6,hey
7,baby
8,i
9,think
10,i
11,wanna
12,marry
13,you
14,look
15,your
16,eyes
17,dancing
18,juice
19,cares
20,baby
21,i
22,think
23,i
24,wanna
25,marry
26,you
27,well
28,i
29,know
30,little
31,chapel
32,boulevard
33,go
34,one
35,know
36,oh
37,come
38,girl
39,cares
40,we're
41,trashed
42,got
43,pocket
44,full
45,cash
46,blow
47,shots
48,patron
49,girl
50,prechorus
51,say
52,say
53,yeah
54,yeah
55,yeah
56,yeah
57,yeah
58,we'll
59,go
60,go
61,go
62,go
63,go
64,you're
65,ready
66,like
67,i'm
68,ready
69,cause
70,beautiful
71,night
72,we're
73,looking
74,something
75,dumb
76,hey
77,baby
78,i
79,think
80,i
81,wanna
82,marry
83,you
84,look
85,your
86,eyes
87,dancing
88,juice
89,cares
90,baby
91,i
92,think
93,i
94,wanna
95,marry
96,you
97,oh
98,i'll
99,go
100,get
101,ring
102,let
103,choir
104,bells
105,sing
106,like
107,ooh
108,you
109,wanna
110,let's
111,run
112,girl
113,wake
114,you
115,wanna
116,break
117,that's
118,cool
119,i
120,blame
121,you
122,fun
123,girl
124,prechorus
125,say
126,say
127,yeah
128,yeah
129,yeah
130,yeah
131,yeah
132,we'll
133,go
134,go
135,go
136,go
137,go
138,you're
139,ready
140,like
141,i'm
142,ready
143,cause
144,beautiful
145,night
146,we're
147,looking
148,something
149,dumb
150,hey
151,baby
152,i
153,think
154,i
155,wanna
156,marry
157,you
158,look
159,your
160,eyes
161,dancing
162,juice
163,cares
164,baby
165,i
166,think
167,i
168,wanna
169,marry
170,you
171,oh
172,say
173,i
174,tell
175,me
176,right
177,baby
178,tell
179,me
180,right
181,baby
182,baby
183,say
184,i
185,tell
186,me
187,right
188,baby
189,tell
190,me
191,right
192,baby
193,baby
194,oh
195,beautiful
196,night
197,we're
198,looking
199,something
200,dumb
201,hey
202,baby
203,i
204,think
205,i
206,wanna
207,marry
208,you
209,look
210,your
211,eyes
212,dancing
213,juice
214,cares
215,baby
216,i
217,think
218,i
219,wanna
220,marry
221,you
