,Bel Air_Lana Del Rey
0,gargoyles
1,standing
2,front
3,gate
4,trying
5,tell
6,wait
7,can't
8,wait
9,see
10,run
11,like
12,i'm
13,mad
14,heaven's
15,door
16,wanna
17,bad
18,cheat
19,roses
20,bel
21,air
22,take
23,i've
24,waiting
25,meet
26,palm
27,trees
28,light
29,see
30,late
31,night
32,darling
33,i'm
34,waiting
35,greet
36,come
37,baby
38,spotlight
39,bad
40,baby
41,got
42,flair
43,violentest
44,kind
45,love
46,anywhere
47,mon
48,amour
49,sweet
50,child
51,mine
52,divine
53,anyone
54,ever
55,tell
56,okay
57,shine
58,roses
59,bel
60,air
61,take
62,i've
63,waiting
64,meet
65,palm
66,trees
67,light
68,see
69,late
70,night
71,darling
72,i'm
73,waiting
74,greet
75,come
76,baby
77,bridge
78,afraid
79,ashamed
80,walk
81,way
82,soft
83,resurrection
84,idol
85,roses
86,iconic
87,soul
88,know
89,name
90,lead
91,war
92,brilliant
93,direction
94,roses
95,bel
96,air
97,take
98,i've
99,waiting
100,meet
101,palm
102,trees
103,light
104,see
105,late
106,night
107,darling
108,i'm
109,waiting
110,greet
111,come
112,baby
113,roses
114,bel
115,air
116,take
117,i've
118,waiting
119,meet
120,grenadine
121,sunshine
122,fade
123,inside
124,mine
125,darling
126,i'm
127,waiting
128,greet
129,come
130,baby
