,Fix You_Coldplay
0,try
1,best
2,succeed
3,get
4,want
5,need
6,feel
7,tired
8,can't
9,sleep
10,stuck
11,reverse
12,tears
13,come
14,streaming
15,face
16,lose
17,something
18,can't
19,replace
20,love
21,someone
22,goes
23,waste
24,could
25,worse
26,&
27,lights
28,guide
29,home
30,ignite
31,bones
32,try
33,fix
34,high
35,love
36,let
37,go
38,never
39,try
40,never
41,know
42,worth
43,&
44,lights
45,guide
46,home
47,ignite
48,bones
49,try
50,fix
51,instrumental
52,bridge
53,jonny
54,guy
55,tears
56,stream
57,face
58,lose
59,something
60,cannot
61,replace
62,tears
63,stream
64,face
65,breakdown
66,jonny
67,guy
68,tears
69,stream
70,face
71,promise
72,learn
73,mistakes
74,tears
75,stream
76,face
77,outro
78,lights
79,guide
80,home
81,ignite
82,bones
83,try
84,fix
