,Breakthrough_Modest Mouse
0,i
1,got
2,one
3,two
4,three
5,four
6,five
7,six
8,sick
9,sick
10,running
11,'round
12,neighborhood
13,pejorative
14,jinx
15,he
16,said
17,groom
18,me
19,'cause
20,he
21,ate
22,rice
23,wellintentioned
24,bad
25,advice
26,hell
27,yeah
28,yeah
29,yeah
30,let
31,break
32,oh
33,let
34,break
35,oh
36,let
37,break
38,oh
39,yeah
40,let
41,break
42,oh
43,let
44,break
45,oh
46,let
47,break
48,oh
49,yeah
50,open
51,curtain
52,let
53,sky
54,almost
55,half
56,past
57,two
58,you
59,you
60,tell
61,light
62,oh
63,yeah
64,open
65,your
66,window
67,let
68,atmosphere
69,let
70,break
71,oh
72,let
73,break
74,oh
75,let
76,break
77,oh
78,yeah
79,let
80,break
81,oh
82,let
83,break
84,oh
85,let
86,break
87,oh
88,yeah
89,open
90,curtain
91,let
92,sky
93,almost
94,half
95,past
96,two
97,you
98,you
99,tell
100,light
101,open
102,your
103,window
104,let
105,atmosphere
106,oh
107,yeah
108,let
109,break
110,oh
111,let
112,break
113,oh
114,let
115,break
116,oh
117,yeah
118,i
119,inverted
120,i
121,mean
122,converted
123,i
124,mean
125,i
126,understand
127,i
128,inverted
129,i
130,mean
131,converted
132,i
133,mean
134,i
135,understand
