,There's A Class For This_Cute Is What We Aim For
0,prechorus
1,you
2,got
3,gotta
4,gotta
5,give
6,you
7,got
8,gotta
9,gotta
10,give
11,you
12,got
13,you
14,got
15,keep
16,mystery
17,provide
18,provide
19,clues
20,rest
21,you
22,forget
23,check
24,obvious
25,serious
26,i
27,guess
28,comes
29,curious
30,you
31,prechorus
32,you
33,got
34,gotta
35,gotta
36,give
37,you
38,got
39,gotta
40,gotta
41,give
42,you
43,got
44,you
45,got
46,drama
47,follow
48,me
49,rides
50,my
51,back
52,i
53,may
54,ugly
55,sure
56,love
57,stare
58,drama
59,follow
60,me
61,rides
62,my
63,back
64,i
65,may
66,ugly
67,sure
68,love
69,stare
70,you
71,check
72,labels
73,fcc
74,calories
75,killing
76,me
77,sticky
78,situation
79,keep
80,your
81,chest
82,game
83,drop
84,your
85,jaw
86,coax
87,me
88,coax
89,me
90,coax
91,me
92,prechorus
93,you
94,got
95,gotta
96,gotta
97,give
98,you
99,got
100,gotta
101,gotta
102,give
103,you
104,got
105,you
106,got
107,drama
108,follow
109,me
110,rides
111,my
112,back
113,i
114,may
115,ugly
116,sure
117,love
118,stare
119,drama
120,follow
121,me
122,rides
123,my
124,back
125,i
126,may
127,ugly
128,sure
129,love
130,stare
131,william
132,beckett
133,party
134,without
135,people
136,show
137,without
138,sounds
139,dance
140,without
141,steps
142,i
143,gave
144,you
145,clues
146,find
147,i
148,found
149,party
150,without
151,people
152,show
153,without
154,sounds
155,dance
156,without
157,steps
158,i
159,gave
160,you
161,clues
162,find
163,i
164,found
165,drama
166,follow
167,me
168,rides
169,my
170,back
171,i
172,may
173,ugly
174,sure
175,love
176,stare
177,drama
178,follow
179,me
180,rides
181,my
182,back
183,i
184,may
185,ugly
186,sure
187,love
188,stare
