,La La Love You_Pixies
0,david
1,lovering
2,shake
3,your
4,butt
5,black
6,francis
7,hard
8,david
9,lovering
10,shake
11,your
12,butt
13,black
14,francis
15,hard
16,yeah
17,yeah
18,yeah
19,i
20,love
21,you
22,i
23,love
24,you
25,i
26,love
27,you
28,i
29,i
30,love
31,you
32,i'm
33,saying
34,pretty
35,baby
36,la
37,la
38,love
39,you
40,mean
41,maybe
42,i'm
43,saying
44,pretty
45,baby
46,first
47,base
48,second
49,base
50,third
51,base
52,home
53,run
54,yeah
55,yeah
56,yeah
57,i
58,love
59,you
60,i
61,love
62,you
63,i
64,love
65,you
66,i
67,i
68,love
69,you
70,i'm
71,saying
72,pretty
73,baby
74,la
75,la
76,love
77,you
78,mean
79,maybe
80,i'm
81,saying
82,pretty
83,baby
84,la
85,la
86,love
87,you
88,mean
89,maybe
90,i'm
91,saying
92,pretty
93,baby
94,la
95,la
96,love
97,you
98,mean
99,maybe
100,i'm
101,saying
102,pretty
103,baby
104,la
105,la
106,love
107,you
108,mean
109,maybe
110,i'm
111,saying
112,pretty
113,baby
