,Like I Can_Sam Smith
0,could
1,sinner
2,gentleman
3,could
4,preacher
5,soul
6,damned
7,could
8,lawyer
9,witness
10,stand
11,he'll
12,never
13,love
14,like
15,could
16,stranger
17,gave
18,second
19,glance
20,could
21,trophy
22,one
23,night
24,stand
25,could
26,humour
27,understand
28,he'll
29,never
30,love
31,like
32,looking
33,wrong
34,roads
35,mine
36,heart
37,salt
38,soul
39,may
40,lovers
41,hold
42,hands
43,they’ll
44,never
45,love
46,like
47,they'll
48,never
49,love
50,like
51,chance
52,encounter
53,circumstance
54,baby
55,he's
56,mantra
57,keeps
58,mind
59,entranced
60,could
61,silence
62,mayhem
63,he’ll
64,never
65,love
66,like
67,looking
68,wrong
69,roads
70,mine
71,heart
72,salt
73,soul
74,may
75,lovers
76,hold
77,hands
78,they’ll
79,never
80,love
81,like
82,they'll
83,never
84,love
85,like
86,bridge
87,demons
88,can't
89,stand
90,love
91,demons
92,like
93,devils
94,self-seeking
95,honest
96,man
97,stop
98,deceiving
99,lord
100,please
101,looking
102,wrong
103,roads
104,mine
105,heart
106,salt
107,soul
108,may
109,lovers
110,hold
111,hands
112,they’ll
113,never
114,love
115,like
116,they'll
117,never
118,love
119,like
