,One Line_PJ Harvey
0,remember
1,first
2,kiss
3,stars
4,shooting
5,across
6,sky
7,come
8,place
9,never
10,left
11,mind
12,i'm
13,watching
14,wall
15,streets
16,fight
17,world
18,gone
19,war
20,need
21,tonight
22,draw
23,line
24,heart
25,today
26,heart
27,mine
28,line
29,keep
30,us
31,safe
32,rising
33,sun
34,circling
35,years
36,one
37,could
38,brought
39,draw
40,line
41,heart
42,today
43,heart
44,mine
45,one
46,line
47,keep
48,us
49,safe
50,draw
51,line
52,heart
53,today
54,heart
55,mine
56,pray
57,keep
58,us
59,safe
60,outro
61,watch
62,stars
63,moving
64,across
65,sky
66,keep
67,feeling
68,safe
69,tonight
