,Apologize_OneRepublic
0,i'm
1,holding
2,your
3,rope
4,got
5,me
6,ten
7,feet
8,ground
9,i'm
10,hearing
11,you
12,say
13,i
14,can't
15,make
16,sound
17,you
18,tell
19,me
20,you
21,need
22,me
23,you
24,go
25,cut
26,me
27,wait
28,you
29,tell
30,me
31,you're
32,sorry
33,think
34,i'd
35,turn
36,around
37,say
38,late
39,apologize
40,late
41,i
42,said
43,late
44,apologize
45,late
46,late
47,oh
48,oh
49,i'd
50,take
51,another
52,chance
53,take
54,fall
55,take
56,shot
57,you
58,oh
59,oh
60,i
61,need
62,you
63,like
64,heart
65,needs
66,beat
67,nothing
68,new
69,yeah
70,yeah
71,i
72,loved
73,you
74,fire
75,red
76,turning
77,blue
78,you
79,say
80,sorry
81,like
82,angel
83,heaven
84,let
85,me
86,think
87,you
88,i'm
89,afraid
90,late
91,apologize
92,late
93,i
94,said
95,late
96,apologize
97,late
98,oh
99,oh
100,late
101,apologize
102,late
103,i
104,said
105,late
106,apologize
107,late
108,i
109,said
110,late
111,apologize
112,yeah
113,i
114,said
115,late
116,apologize
117,yeah
118,i'm
119,holding
120,your
121,rope
122,got
123,me
124,ten
125,feet
126,ground
