,Cubism Dream_Local Natives
0,she
1,flew
2,across
3,sea
4,talked
5,small
6,screen
7,cubism
8,dream
9,beautiful
10,squares
11,i'd
12,ever
13,seen
14,canvas
15,free
16,gift
17,good
18,mother
19,gave
20,me
21,joked
22,talked
23,differently
24,i
25,never
26,know
27,rot
28,my
29,heart
30,came
31,went
32,dark
33,i
34,changed
35,certain
36,kind
37,man
38,could
39,break
40,your
41,heart
42,his
43,hands
44,scan
45,towns
46,make
47,good
48,found
49,oh
50,fool
51,i
52,think
53,i
54,could
55,get
56,smile
57,wink
58,i
59,make
60,friend
61,i
62,make
63,you
64,sick
65,could
66,you
67,even
68,imagine
69,kiss
70,spoke
71,talked
72,differently
73,i
74,spoke
75,i
76,felt
77,differently
78,i
79,never
80,know
81,rot
82,my
83,heart
84,came
85,went
86,dark
87,i
88,changed
89,certain
90,kind
91,man
92,could
93,break
94,your
95,heart
96,his
97,hands
98,australia
99,halloween
100,i
101,proved
102,love
103,meant
104,me
105,suffering
106,struggling
107,i
108,you
109,i
110,me
111,i
112,me
113,i
114,me
115,i
116,me
