,Tenerife Sea_Ed Sheeran
0,you
1,look
2,wonderful
3,your
4,dress
5,i
6,love
7,your
8,hair
9,like
10,way
11,falls
12,side
13,your
14,neck
15,your
16,shoulders
17,back
18,surrounded
19,lies
20,people
21,talk
22,much
23,you
24,got
25,kind
26,look
27,your
28,eyes
29,one
30,knows
31,anything
32,us
33,prechorus
34,last
35,thing
36,i
37,see
38,i
39,want
40,you
41,know
42,it’s
43,enough
44,me
45,cause
46,you
47,i’ll
48,ever
49,need
50,i'm
51,love
52,love
53,love
54,love
55,you
56,look
57,beautiful
58,light
59,you
60,silhouette
61,me
62,way
63,brings
64,blue
65,your
66,eyes
67,tenerife
68,sea
69,voices
70,surrounding
71,us
72,fade
73,you
74,take
75,breath
76,say
77,word
78,i
79,disappear
80,wilderness
81,prechorus
82,last
83,thing
84,i
85,see
86,i
87,want
88,you
89,know
90,it’s
91,enough
92,me
93,cause
94,you
95,i’ll
96,ever
97,need
98,i'm
99,love
100,love
101,love
102,love
103,lumiere
104,darling
105,lumiere
106,me
107,lumiere
108,darling
109,lumiere
110,me
111,lumiere
112,darling
113,lumiere
114,me
115,prechorus
116,last
117,thing
118,i
119,see
120,i
121,want
122,you
123,know
124,it’s
125,enough
126,me
127,cause
128,you
129,i’ll
130,ever
131,need
132,i'm
133,love
134,love
135,love
136,love
137,you
138,look
139,wonderful
140,your
141,dress
142,i
143,love
144,your
145,hair
146,like
147,moment
148,i
149,knew
150,you
151,beth
