,How to Save a Life_The Fray
0,step
1,one
2,you
3,say
4,need
5,talk
6,he
7,walks
8,you
9,say
10,sit
11,talk
12,he
13,smiles
14,politely
15,back
16,you
17,you
18,stare
19,politely
20,right
21,sort
22,window
23,your
24,right
25,he
26,goes
27,left
28,you
29,stay
30,right
31,lines
32,fear
33,blame
34,you
35,begin
36,wonder
37,you
38,came
39,i
40,go
41,wrong
42,i
43,lost
44,friend
45,somewhere
46,along
47,bitterness
48,i
49,would
50,stayed
51,you
52,night
53,i
54,known
55,save
56,life
57,let
58,him
59,know
60,you
61,know
62,best
63,'cause
64,you
65,know
66,best
67,try
68,slip
69,past
70,his
71,defense
72,without
73,granting
74,innocence
75,lay
76,list
77,wrong
78,things
79,you've
80,told
81,him
82,along
83,pray
84,god
85,he
86,hears
87,you
88,pray
89,god
90,he
91,hears
92,you
93,i
94,go
95,wrong
96,i
97,lost
98,friend
99,somewhere
100,along
101,bitterness
102,i
103,would
104,stayed
105,you
106,night
107,i
108,known
109,save
110,life
111,he
112,begins
113,raise
114,his
115,voice
116,you
117,lower
118,yours
119,grant
120,him
121,one
122,last
123,choice
124,drive
125,you
126,lose
127,road
128,break
129,ones
130,you've
131,followed
132,he
133,one
134,two
135,things
136,he
137,admit
138,everything
139,he'll
140,say
141,he's
142,you'll
143,begin
144,wonder
145,you
146,came
147,i
148,go
149,wrong
150,i
151,lost
152,friend
153,somewhere
154,along
155,bitterness
156,i
157,would
158,stayed
159,you
160,night
161,i
162,known
163,save
164,life
165,i
166,go
167,wrong
168,i
169,lost
170,friend
171,somewhere
172,along
173,bitterness
174,i
175,would
176,stayed
177,you
178,night
179,i
180,known
181,save
182,life
183,refrain
184,save
185,life
186,save
187,life
188,i
189,go
190,wrong
191,i
192,lost
193,friend
194,somewhere
195,along
196,bitterness
197,i
198,would
199,stayed
200,you
201,night
202,i
203,known
204,save
205,life
206,i
207,go
208,wrong
209,i
210,lost
211,friend
212,somewhere
213,along
214,bitterness
215,i
216,would
217,stayed
218,you
219,night
220,i
221,known
222,save
223,life
224,save
225,life
226,save
227,life
