,Punk Rock Princess_Something Corporate
0,maybe
1,room
2,empty
3,maybe
4,bottle's
5,full
6,maybe
7,door
8,gets
9,broke
10,love
11,break
12,maybe
13,i'm
14,done
15,thinking
16,maybe
17,think
18,whole
19,maybe
20,i'm
21,done
22,endings
23,begin
24,pre-chorus
25,begin
26,begin
27,could
28,punk
29,rock
30,princess
31,would
32,garage
33,band
34,king
35,could
36,tell
37,fit
38,gonna
39,something
40,maybe
41,hair
42,gets
43,darker
44,maybe
45,eyes
46,get
47,wide
48,maybe
49,walls
50,smaller
51,space
52,maybe
53,i'm
54,tired
55,maybe
56,step
57,inside
58,maybe
59,look
60,things
61,can't
62,replace
63,pre-chorus
64,can't
65,replace
66,can't
67,replace
68,could
69,punk
70,rock
71,princess
72,would
73,garage
74,band
75,king
76,could
77,tell
78,fit
79,gonna
80,something
81,could
82,first
83,real
84,heartache
85,would
86,could
87,punk
88,rock
89,princess
90,would
91,heroin
92,bridge
93,well
94,never
95,thought
96,last
97,never
98,dreamed
99,would
100,watch
101,life
102,go
103,past
104,wonder
105,punk
106,rock
107,princess
108,would
109,garage
110,band
111,king
112,could
113,tell
114,fit
115,gonna
116,something
117,could
118,first
119,real
120,heartache
121,would
122,could
123,punk
124,rock
125,princess
126,would
127,heroin
128,bridge
129,whoa
130,oh
131,know
132,burn
133,bridges
134,whoa
135,oh
136,know
137,can't
138,let
139,sink
140,could
141,heroine
142,could
143,heroine
