,Buckets of Rain_Bob Dylan
0,buckets
1,rain
2,buckets
3,tears
4,got
5,buckets
6,comin’
7,my
8,ears
9,buckets
10,moonbeams
11,my
12,hand
13,you
14,got
15,love
16,honey
17,baby
18,i
19,stand
20,i
21,meek
22,hard
23,like
24,oak
25,i've
26,seen
27,pretty
28,people
29,disappear
30,like
31,smoke
32,friends
33,arrive
34,friends
35,disappear
36,you
37,want
38,me
39,honey
40,baby
41,i’ll
42,i
43,like
44,your
45,smile
46,your
47,fingertips
48,i
49,like
50,way
51,you
52,move
53,your
54,hips
55,i
56,like
57,cool
58,way
59,you
60,look
61,me
62,everything
63,you
64,bringing
65,me
66,misery
67,little
68,red
69,wagon
70,little
71,red
72,bike
73,i
74,ain’t
75,monkey
76,i
77,know
78,i
79,like
80,i
81,like
82,way
83,you
84,love
85,me
86,strong
87,slow
88,i’m
89,taking
90,you
91,me
92,honey
93,baby
94,i
95,go
96,life
97,sad
98,life
99,bust
100,you
101,you
102,must
103,you
104,you
105,must
106,you
107,well
108,i
109,you
110,honey
111,baby
112,can’t
113,you
114,tell
