,Song for Zula_Phosphorescent
0,say
1,love
2,burning
3,thing
4,makes
5,fiery
6,ring
7,oh
8,i
9,know
10,love
11,fading
12,thing
13,fickle
14,feather
15,stream
16,see
17,honey
18,i
19,saw
20,love
21,you
22,see
23,came
24,me
25,put
26,face
27,my
28,face
29,i
30,could
31,see
32,yeah
33,i
34,saw
35,love
36,disfigure
37,me
38,something
39,i
40,recognizing
41,you
42,see
43,cage
44,called
45,i
46,said
47,‘come
48,in’
49,i
50,open
51,myself
52,way
53,i
54,lay
55,my
56,face
57,soil
58,my
59,teeth
60,sand
61,i
62,lay
63,like
64,days
65,upon
66,end
67,you
68,see
69,me
70,fall
71,see
72,me
73,struggle
74,stand
75,acknowledged
76,touch
77,his
78,gnarled
79,hand
80,you
81,see
82,cage
83,called
84,i
85,said
86,‘come
87,in’
88,i
89,open
90,myself
91,way
92,you
93,see
94,moon
95,bright
96,treetop
97,night
98,i
99,see
100,shadows
101,cast
102,cold
103,clean
104,light
105,my
106,feet
107,gold
108,my
109,heart
110,white
111,race
112,desert
113,plains
114,night
115,see
116,honey
117,i
118,broken
119,thing
120,i
121,lay
122,dark
123,waiting
124,thee
125,my
126,heart
127,gold
128,my
129,feet
130,light
131,i
132,racing
133,desert
134,plains
135,night
136,say
137,love
138,burning
139,thing
140,makes
141,fiery
142,ring
143,oh
144,i
145,know
146,love
147,caging
148,thing
149,killer
150,come
151,call
152,awful
153,dream
154,ah
155,you
156,folks
157,you
158,come
159,see
160,you
161,stand
162,glass
163,looking
164,me
165,my
166,heart
167,wild
168,my
169,bones
170,steam
171,i
172,could
173,kill
174,you
175,my
176,bare
177,hands
178,i
179,free
