,Do You Remember_Jack Johnson
0,remember
1,first
2,met
3,sure
4,time
5,early
6,september
7,though
8,lazy
9,made
10,wait
11,around
12,crazy
13,mind
14,late
15,class
16,locked
17,bike
18,hard
19,find
20,painted
21,flowers
22,guess
23,afraid
24,rolled
25,away
26,might
27,roll
28,back
29,direction
30,real
31,soon
32,well
33,crazy
34,craziest
35,thing
36,ten
37,years
38,gone
39,still
40,mine
41,we're
42,locked
43,time
44,let's
45,rewind
46,remember
47,first
48,moved
49,together
50,piano
51,took
52,living
53,room
54,played
55,boogiewoogie
56,played
57,love
58,songs
59,say
60,we're
61,playing
62,house
63,still
64,say
65,built
66,getaway
67,tree
68,found
69,felt
70,far
71,away
72,still
73,town
74,remember
75,watching
76,old
77,tree
78,burn
79,took
80,picture
81,like
82,look
83,well
84,times
85,come
86,go
87,alone
88,seem
89,long
90,ten
91,years
92,gone
93,can't
94,rewind
95,we're
96,locked
97,time
98,still
99,mine
100,remember
