,You Are Not Alone_Michael Jackson
0,instrumental
1,break
2,another
3,day
4,gone
5,i'm
6,still
7,alone
8,could
9,you're
10,me
11,you
12,never
13,said
14,goodbye
15,someone
16,tell
17,me
18,you
19,go
20,leave
21,my
22,world
23,cold
24,prechorus
25,every
26,day
27,i
28,sit
29,ask
30,myself
31,love
32,slip
33,away
34,something
35,whispers
36,my
37,ear
38,says
39,you
40,alone
41,i
42,you
43,though
44,you're
45,far
46,away
47,i
48,stay
49,you
50,alone
51,i
52,you
53,though
54,we're
55,far
56,apart
57,you're
58,always
59,my
60,heart
61,you
62,alone
63,'lone
64,'lone
65,'lone
66,night
67,i
68,thought
69,i
70,heard
71,you
72,cry
73,asking
74,me
75,come
76,hold
77,you
78,my
79,arms
80,i
81,hear
82,your
83,prayers
84,your
85,burdens
86,i
87,bear
88,first
89,i
90,need
91,your
92,hand
93,forever
94,begin
95,prechorus
96,every
97,day
98,i
99,sit
100,ask
101,myself
102,love
103,slip
104,away
105,something
106,whispers
107,my
108,ear
109,says
110,you
111,alone
112,i
113,you
114,though
115,you're
116,far
117,away
118,i
119,stay
120,you
121,alone
122,i
123,you
124,though
125,we're
126,far
127,apart
128,you're
129,always
130,my
131,heart
132,you
133,alone
134,'lone
135,'lone
136,'lone
137,whisper
138,three
139,words
140,i'll
141,come
142,running
143,girl
144,you
145,know
146,i'll
147,i'll
148,fade
149,you
150,alone
151,i
152,you
153,though
154,you're
155,far
156,away
157,i
158,stay
159,you
160,alone
161,i
162,you
163,though
164,we're
165,far
166,apart
167,you're
168,always
169,my
170,heart
171,you
172,alone
173,'lone
174,'lone
175,'lone
176,sung
177,you
178,alone
179,alone
180,oh
181,you
182,alone
183,you
184,alone
185,say
186,you
187,alone
188,you
189,alone
190,alone
191,alone
192,you
193,reach
194,me
195,girl
196,morning
197,evening
198,alone
199,alone
200,you
201,me
202,alone
203,oh
204,together
205,together
206,alone
207,alone
