,Tim McGraw_Taylor Swift
0,he
1,said
2,way
3,my
4,blue
5,eyes
6,shined
7,put
8,georgia
9,stars
10,shame
11,night
12,i
13,said
14,that's
15,lie
16,boy
17,chevy
18,truck
19,tendency
20,gettin'
21,stuck
22,backroads
23,night
24,i
25,right
26,beside
27,him
28,summer
29,long
30,time
31,woke
32,find
33,summer
34,gone
35,you
36,think
37,tim
38,mcgraw
39,i
40,hope
41,you
42,think
43,my
44,favorite
45,song
46,one
47,danced
48,night
49,long
50,moon
51,like
52,spotlight
53,lake
54,you
55,think
56,happiness
57,i
58,hope
59,you
60,think
61,little
62,black
63,dress
64,think
65,my
66,head
67,your
68,chest
69,my
70,old
71,faded
72,blue
73,jeans
74,you
75,think
76,tim
77,mcgraw
78,i
79,hope
80,you
81,think
82,me
83,september
84,saw
85,month
86,tears
87,thankin'
88,god
89,you
90,see
91,me
92,like
93,box
94,beneath
95,my
96,bed
97,letter
98,you
99,never
100,read
101,three
102,summers
103,back
104,hard
105,find
106,little
107,bittersweet
108,lookin'
109,back
110,nice
111,believe
112,you
113,think
114,tim
115,mcgraw
116,i
117,hope
118,you
119,think
120,my
121,favorite
122,song
123,one
124,danced
125,night
126,long
127,moon
128,like
129,spotlight
130,lake
131,you
132,think
133,happiness
134,i
135,hope
136,you
137,think
138,little
139,black
140,dress
141,think
142,my
143,head
144,your
145,chest
146,my
147,old
148,faded
149,blue
150,jeans
151,you
152,think
153,tim
154,mcgraw
155,i
156,hope
157,you
158,think
159,me
160,i'm
161,back
162,first
163,time
164,since
165,i'm
166,standin'
167,your
168,street
169,there's
170,letter
171,left
172,your
173,doorstep
174,first
175,thing
176,you'll
177,read
178,you
179,think
180,tim
181,mcgraw
182,i
183,hope
184,you
185,think
186,my
187,favorite
188,song
189,someday
190,you'll
191,turn
192,your
193,radio
194,i
195,hope
196,takes
197,you
198,back
199,place
200,you
201,think
202,happiness
203,i
204,hope
205,you
206,think
207,little
208,black
209,dress
210,think
211,my
212,head
213,your
214,chest
215,my
216,old
217,faded
218,blue
219,jeans
220,you
221,think
222,tim
223,mcgraw
224,i
225,hope
226,you
227,think
228,me
229,oh
230,think
231,me
232,mmmm
233,he
234,said
235,way
236,my
237,blue
238,eyes
239,shine
240,put
241,georgia
242,stars
243,shame
244,night
245,i
246,said
247,that's
248,lie
