,A Thousand Miles_Vanessa Carlton
0,makin'
1,way
2,downtown
3,walkin'
4,fast
5,faces
6,pass
7,i'm
8,homebound
9,starin'
10,blankly
11,ahead
12,makin'
13,way
14,makin'
15,way
16,crowd
17,pre-chorus
18,need
19,miss
20,wonder
21,could
22,fall
23,sky
24,think
25,time
26,would
27,pass
28,'cause
29,know
30,i'd
31,walk
32,thousand
33,miles
34,could
35,see
36,tonight
37,always
38,times
39,like
40,think
41,wonder
42,ever
43,think
44,'cause
45,everything's
46,wrong
47,belong
48,livin'
49,precious
50,memory
51,pre-chorus
52,'cause
53,i'll
54,need
55,i'll
56,miss
57,wonder
58,could
59,fall
60,sky
61,think
62,time
63,would
64,pass
65,oh
66,'cause
67,know
68,i'd
69,walk
70,thousand
71,miles
72,could
73,see
74,tonight
75,bridge
76,wanna
77,let
78,know
79,drown
80,memory
81,wanna
82,let
83,go
84,reprise
85,makin'
86,way
87,downtown
88,walkin'
89,fast
90,faces
91,pass
92,i'm
93,homebound
94,starin'
95,blankly
96,ahead
97,makin'
98,way
99,makin'
100,way
101,crowd
102,pre-chorus
103,still
104,need
105,still
106,miss
107,wonder
108,could
109,fall
110,sky
111,think
112,time
113,would
114,pass
115,us
116,'cause
117,know
118,i'd
119,walk
120,thousand
121,miles
122,could
123,see
124,could
125,fall
126,sky
127,think
128,time
129,would
130,pass
131,'cause
132,know
133,i'd
134,walk
135,thousand
136,miles
137,could
138,see
139,could
140,hold
141,tonight
