,My Oh My_David Gray
0,earth
1,going
2,my
3,heart
4,turned
5,cold
6,stone
7,seems
8,days
9,i
10,feel
11,anything
12,‘less
13,cuts
14,me
15,right
16,bone
17,earth
18,going
19,my
20,heart
21,my
22,oh
23,my
24,you
25,know
26,stop
27,my
28,mind
29,i
30,wanna
31,tear
32,i've
33,tried
34,fight
35,tried
36,turn
37,enough
38,takes
39,lotta
40,love
41,takes
42,lotta
43,love
44,my
45,friend
46,keep
47,your
48,heart
49,freezing
50,push
51,‘til
52,end
53,my
54,oh
55,my
56,earth
57,going
58,my
59,head
60,you
61,know
62,i
63,used
64,sure
65,you
66,know
67,i
68,used
69,definite
70,thought
71,i
72,knew
73,love
74,i
75,look
76,around
77,days
78,i'm
79,sure
80,my
81,oh
82,my
83,you
84,know
85,stop
86,my
87,mind
88,i
89,wanna
90,tear
91,i've
92,tried
93,fight
94,tried
95,turn
96,enough
97,takes
98,lotta
99,love
100,takes
101,lotta
102,love
103,my
104,friend
105,keep
106,your
107,heart
108,freezing
109,push
110,till
111,end
112,my
113,oh
114,my
115,you
116,know
117,i
118,can't
119,win
120,i
121,burn
122,comes
123,right
124,back
125,kinda
126,world
127,we're
128,living
129,you
130,never
131,win
132,takes
133,lotta
134,love
135,takes
136,lotta
137,love
138,days
139,keep
140,your
141,heart
142,freezing
143,keep
144,your
145,spirit
146,free
147,my
148,oh
149,my
150,my
151,oh
152,my
153,you
154,know
155,stop
156,my
157,mind
158,i
159,wanna
160,tear
161,i've
162,tried
163,fight
164,tried
165,turn
166,enough
167,takes
168,lotta
169,love
170,takes
171,lotta
172,love
173,my
174,friend
175,keep
176,your
177,heart
178,freezing
179,push
180,till
181,end
182,my
183,oh
184,my
185,you
186,know
187,stop
188,my
189,oh
190,my
191,you
192,know
193,stop
194,don’t
195,my
196,oh
197,my
198,you
199,know
200,stop
201,my
202,oh
203,my
204,my
205,oh
206,my
207,you
208,know
209,stop
210,my
211,oh
212,my
213,my
214,oh
215,my
216,you
217,know
218,stop
219,well
220,my
221,oh
222,my
223,you
224,know
225,stop
226,my
227,oh
228,my
229,my
230,oh
231,my
232,my
233,oh
234,my
235,you
236,know
237,stop
238,my
239,oh
240,my
241,you
242,know
243,stop
