,"Love Me Like You Do - From ""Fifty Shades of Grey""_Ellie Goulding"
0,song
1,year
2,kendrick
3,lamar
4,alright
5,taylor
6,swift
7,blank
8,space
9,little
10,big
11,town
12,girl
13,crush
14,wiz
15,khalifa
16,see
17,you
18,ft
19,charlie
20,puth
21,ed
22,sheeran
23,thinking
24,loud
25,winner
26,record
27,year
28,d'angelo
29,vanguard
30,really
31,love
32,mark
33,ronson
34,uptown
35,funk
36,ft
37,bruno
38,mars
39,winner
40,ed
41,sheeran
42,thinking
43,loud
44,taylor
45,swift
46,blank
47,space
48,weeknd
49,can't
50,feel
51,my
52,face
53,album
54,year
55,alabama
56,shakes
57,sound
58,color
59,kendrick
60,lamar
61,pimp
62,butterfly
63,chris
64,stapleton
65,traveller
66,taylor
67,swift
68,1989
69,winner
70,weeknd
71,beauty
72,behind
73,madness
74,best
75,new
76,artist
77,courtney
78,barnett
79,james
80,bay
81,sam
82,hunt
83,tori
84,kelly
85,meghan
86,trainor
87,winner
88,best
89,rap
90,performance
91,j
92,cole
93,apparently
94,drake
95,back
96,back
97,fetty
98,wap
99,trap
100,queen
101,kendrick
102,lamar
103,alright
104,winner
105,nicki
106,minaj
107,truffle
108,butter
109,ft
110,drake
111,lil'
112,wayne
113,kanye
114,west
115,day
116,ft
117,theophilus
118,london
119,best
120,rapsung
121,collaboration
122,big
123,sean
124,one
125,man
126,change
127,world
128,ft
129,kanye
130,west
131,john
132,legend
133,common
134,john
135,legend
136,glory
137,jidenna
138,classic
139,man
140,ft
141,roman
142,gianarthur
143,kendrick
144,lamar
145,walls
146,ft
147,bilal
148,anna
149,wise
150,thundercat
151,winner
152,nicki
153,minaj
154,ft
155,drake
156,lil'
157,wayne
158,chris
159,brown
160,best
161,rap
162,song
163,kanye
164,west
165,day
166,kendrick
167,lamar
168,alright
169,winner
170,drake
171,energy
172,common
173,john
174,legend
175,glory
176,fetty
177,wap
178,trap
179,queen
180,best
181,rap
182,album
183,j
184,cole
185,2014
186,forest
187,hills
188,drive
189,dr
190,dre
191,compton
192,drake
193,you're
194,reading
195,late
196,kendrick
197,lamar
198,pimp
199,butterfly
200,winner
201,nicki
202,minaj
203,pinkprint
204,best
205,pop
206,solo
207,performance
208,kelly
209,clarkson
210,heartbeat
211,song
212,ellie
213,goulding
214,love
215,me
216,like
217,you
218,ed
219,sheeran
220,thinking
221,loud
222,winner
223,taylor
224,swift
225,blank
226,space
227,weeknd
228,can't
229,feel
230,my
231,face
232,best
233,pop
234,duogroup
235,performance
236,florence
237,machine
238,ship
239,wreck
240,maroon
241,sugar
242,mark
243,ronson
244,uptown
245,funk
246,ft
247,bruno
248,mars
249,winner
250,taylor
251,swift
252,bad
253,blood
254,ft
255,kendrick
256,lamar
257,wiz
258,khalifa
259,see
260,you
261,ft
262,charlie
263,puth
264,best
265,traditional
266,pop
267,vocal
268,album
269,tony
270,bennett
271,bill
272,charlap
273,silver
274,lining
275,songs
276,jerome
277,kern
278,winner
279,bob
280,dylan
281,shadows
282,night
283,josh
284,groban
285,stages
286,seth
287,macfarlane
288,one
289,ever
290,tells
291,you
292,barry
293,manilow
294,various
295,artists
296,my
297,dream
298,duets
299,best
300,pop
301,vocal
302,album
303,kelly
304,clarkson
305,piece
306,piece
307,florence
308,machine
309,big
310,blue
311,beautiful
312,mark
313,ronson
314,uptown
315,special
316,taylor
317,swift
318,1989
319,winner
320,james
321,taylor
322,world
323,best
324,dance
325,recording
326,beyond
327,we're
328,need
329,ft
330,zoë
331,johnston
332,chemical
333,brothers
334,go
335,flying
336,lotus
337,never
338,catch
339,me
340,ft
341,kendrick
342,lamar
343,galantis
344,runaway
345,u
346,i
347,skrillex
348,diplo
349,ü
350,ft
351,justin
352,bieberwinner
353,best
354,danceelectronic
355,album
356,caribou
357,love
358,chemical
359,brothers
360,born
361,echoes
362,disclosure
363,caracal
364,jamie
365,xx
366,colour
367,skrillex
368,diplo
369,skrillex
370,diplo
371,present
372,jack
373,ü
374,winner
375,best
376,rock
377,performance
378,alabama
379,shakes
380,wanna
381,fight
382,winner
383,florence
384,machine
385,kind
386,man
387,foo
388,fighters
389,something
390,nothing
391,elle
392,king
393,ex's
394,oh's
395,wolf
396,alice
397,moaning
398,lisa
399,smile
400,best
401,metal
402,performance
403,august
404,burns
405,red
406,identity
407,ghost
408,cirice
409,winner
410,lamb
411,god
412,512
413,sevendust
414,thank
415,you
416,slipknot
417,custer
418,best
419,rock
420,song
421,alabama
422,shakes
423,wanna
424,fight
425,winner
426,elle
427,king
428,ex's
429,oh's
430,james
431,bay
432,hold
433,back
434,river
435,highly
436,suspect
437,lydia
438,florence
439,machine
440,kind
441,man
442,best
443,rock
444,album
445,james
446,bay
447,chaos
448,calm
449,highly
450,suspect
451,mister
452,asylum
453,muse
454,drones
455,winner
456,slipknot
457,gray
458,chapter
459,best
460,alternative
461,music
462,album
463,alabama
464,shakes
465,sound
466,color
467,winner
468,björk
469,vulnicura
470,my
471,morning
472,jacket
473,waterfall
474,tame
475,impala
476,currents
477,wilco
478,star
479,wars
480,best
481,rb
482,performance
483,tamar
484,braxton
485,i
486,you
487,andra
488,day
489,rise
490,hiatus
491,kaiyote
492,breathing
493,underwater
494,jeremih
495,planes
496,ft
497,j
498,cole
499,weeknd
500,earned
501,fifty
502,shades
503,grey
504,winner
505,best
506,traditional
507,rb
508,performance
509,faith
510,evans
511,he
512,lalah
513,hathaway
514,little
515,ghetto
516,boy
517,winner
518,jazmine
519,sullivan
520,let
521,burn
522,tyrese
523,shame
524,charlie
525,wilson
526,my
527,favorite
528,part
529,you
530,best
531,rb
532,song
533,miguel
534,coffee
535,weeknd
536,earned
537,fifty
538,shades
539,grey
540,jazmine
541,sullivan
542,let
543,burn
544,d'angelo
545,vanguard
546,really
547,love
548,winner
549,tyrese
550,shame
551,best
552,urban
553,contemporary
554,album
555,internet
556,ego
557,death
558,kehlani
559,you
560,lianne
561,la
562,havas
563,blood
564,miguel
565,wildheart
566,weeknd
567,beauty
568,behind
569,madness
570,winner
571,best
572,rb
573,album
574,leon
575,bridges
576,coming
577,home
578,d'angelo
579,vanguard
580,black
581,messiah
582,winner
583,andra
584,day
585,cheers
586,fall
587,jazmine
588,sullivan
589,reality
590,show
591,charlie
592,wilson
593,forever
594,charlie
595,best
596,country
597,solo
598,performance
599,cam
600,burning
601,house
602,chris
603,stapleton
604,traveller
605,winner
606,carrie
607,underwood
608,little
609,toy
610,guns
611,keith
612,urban
613,john
614,cougar
615,john
616,deere
617,john
618,316
619,lee
620,ann
621,womack
622,chances
623,best
624,country
625,duogroup
626,performance
627,brothers
628,osborne
629,stay
630,little
631,longer
632,joeyrory
633,i
634,needed
635,you
636,charles
637,kelley
638,dierks
639,bentley
640,eric
641,paslay
642,driver
643,little
644,big
645,town
646,girl
647,crush
648,blake
649,shelton
650,lonely
651,tonight
652,ft
653,ashley
654,monroe
655,best
656,country
657,song
658,lee
659,ann
660,womack
661,chances
662,time
663,mcgraw
664,diamond
665,rings
666,old
667,barstools
668,little
669,big
670,town
671,girl
672,crush
673,winner
674,brandy
675,clark
676,hold
677,my
678,hand
679,chris
680,stapleton
681,traveller
682,best
683,country
684,album
685,sam
686,hunt
687,montevallo
688,little
689,big
690,town
691,pain
692,killer
693,ashley
694,monroe
695,blade
696,kacey
697,musgraves
698,pageant
699,material
700,chris
701,stapleton
702,traveller
703,winner
704,best
705,reggae
706,album
707,rocky
708,dawuni
709,branches
710,tree
711,jah
712,cure
713,cure
714,barrington
715,levy
716,acousticalevy
717,luciano
718,zion
719,awake
720,morgan
721,heritage
722,strictly
723,roots
724,winner
725,best
726,compilation
727,soundtrack
728,visual
729,media
730,empire
731,season
732,fifty
733,shades
734,grey
735,glen
736,campbell
737,i'll
738,me
739,winner
740,pitch
741,perfect
742,selma
743,best
744,music
745,video
746,aap
747,rocky
748,ld
749,dead
750,weather
751,i
752,feel
753,love
754,every
755,million
756,miles
757,kendrick
758,lamar
759,alright
760,taylor
761,swift
762,ft
763,kendrick
764,lamar
765,bad
766,blood
767,winner
768,pharrell
769,williams
770,freedom
771,best
772,jazz
773,instrumental
774,album
775,joey
776,alexander
777,my
778,favorite
779,things
780,terence
781,blanchard
782,feat
783,ecollective
784,breathless
785,robert
786,glasper
787,robert
788,glasper
789,trio
790,covered
791,recorded
792,live
793,capitol
794,studios
795,jimmy
796,greene
797,beautiful
798,life
799,john
800,scofield
801,past
802,present
803,winner
804,best
805,gospel
806,performancesong
807,anthony
808,brown
809,group
810,therapy
811,worth
812,live
813,wanna
814,happy
815,kirk
816,franklin
817,winner
818,intentional
819,travis
820,greene
821,awesome
822,god
823,live
824,israel
825,new
826,breed
827,ft
828,yolanda
829,adams
830,worth
831,fighting
832,live
833,brian
834,courtney
835,wilson
836,best
837,contemporary
838,christian
839,music
840,performancesong
841,holy
842,spirit
843,francesca
844,battistelli
845,winner
846,life
847,your
848,head
849,weary
850,sinner
851,chains
852,crowder
853,he
854,lives
855,amen
856,matt
857,maher
858,soul
859,fire
860,third
861,day
862,ft
863,sons
864,daughters
865,feel
866,tobymac
867,feat
868,mr
869,talkbox
870,best
871,gospel
872,album
873,destined
874,win
875,live
876,karen
877,clark
878,sheard
879,living
880,dorinda
881,clarkcole
882,one
883,place
884,live
885,tasha
886,cobbs
887,covered
888,alive
889,asia
890,live
891,deluxe
892,israel
893,newbreed
894,winner
895,life
896,music
897,stage
898,two
899,jonathon
900,mcreynolds
901,best
902,contemporary
903,christian
904,music
905,album
906,whatever
907,road
908,jason
909,crabb
910,lauren
911,daigle
912,saints
913,sinners
914,matt
915,maher
916,test
917,tobymac
918,winner
919,love
920,ran
921,red
922,chris
923,tomlin
924,producer
925,year
926,jeff
927,bhasker
928,winner
929,dave
930,cobb
931,diplo
932,larry
933,klein
934,blake
935,mills
