,Heartbeat_The Fray
0,we're
1,open
2,bed
3,truck
4,highway
5,rain
6,coming
7,we're
8,run
9,think
10,i
11,feel
12,breath
13,your
14,body
15,got
16,keep
17,running
18,'til
19,see
20,sun
21,prechorus
22,you
23,got
24,fire
25,burning
26,rain
27,thought
28,went
29,burning
30,you
31,look
32,back
33,anything
34,'cause
35,you
36,love
37,someone
38,you
39,love
40,you
41,love
42,someone
43,you
44,love
45,i
46,feel
47,your
48,heartbeat
49,you're
50,coming
51,around
52,coming
53,around
54,coming
55,around
56,you
57,love
58,somebody
59,you
60,love
61,you
62,got
63,love
64,somebody
65,you
66,love
67,i
68,feeling
69,your
70,heartbeat
71,i'm
72,trying
73,put
74,back
75,together
76,i
77,got
78,story
79,i'm
80,trying
81,tell
82,right
83,i
84,got
85,kerosene
86,desire
87,i'm
88,trying
89,start
90,flame
91,heart
92,night
93,prechorus
94,oh
95,you
96,got
97,fire
98,burnin'
99,rain
100,thought
101,went
102,burnin'
103,you
104,look
105,back
106,anything
107,'cause
108,you
109,love
110,someone
111,you
112,love
113,you
114,love
115,someone
116,you
117,love
118,i
119,feel
120,your
121,heartbeat
122,you're
123,coming
124,around
125,coming
126,around
127,coming
128,around
129,you
130,love
131,somebody
132,you
133,love
134,you
135,got
136,love
137,somebody
138,you
139,love
140,i
141,feeling
142,your
143,heartbeat
144,i
145,know
146,memory
147,rushing
148,your
149,mind
150,i
151,want
152,kiss
153,your
154,scars
155,tonight
156,you
157,got
158,try
159,you
160,got
161,let
162,me
163,let
164,me
165,i
166,feel
167,your
168,heartbeat
169,you're
170,coming
171,around
172,coming
173,around
174,coming
175,around
176,you
177,love
178,somebody
179,you
180,love
181,you
182,got
183,love
184,somebody
185,you
186,love
187,i
188,feeling
189,your
190,heartbeat
191,oh
192,yeah
193,oh
194,yeah
195,heartbeat
