,Sextape_Deftones
0,floating
1,underwater
2,ever
3,changing
4,picture
5,hours
6,land
7,tune
8,dreams
9,ocean
10,takes
11,me
12,watch
13,you
14,shake
15,watch
16,you
17,wave
18,your
19,powers
20,tempt
21,hours
22,pleasure
23,prechorus
24,take
25,me
26,one
27,time
28,take
29,me
30,one
31,wave
32,take
33,me
34,one
35,last
36,ride
37,i'm
38,my
39,head
40,tonight
41,tonight
42,tonight
43,tonight
44,sound
45,waves
46,collide
47,sound
48,waves
49,collide
50,sound
51,waves
52,collide
53,tonight
54,ride
55,cruising
56,city
57,hours
58,me
59,fusing
60,powers
61,here's
62,dreams
63,prechorus
64,take
65,me
66,one
67,time
68,take
69,me
70,one
71,wave
72,take
73,me
74,one
75,last
76,ride
77,i'm
78,my
79,head
80,tonight
81,tonight
82,tonight
83,tonight
84,sound
85,waves
86,collide
87,sound
88,waves
89,collide
90,sound
91,waves
92,collide
93,tonight
94,ride
