,Breathe Me_Sia
0,help
1,i
2,done
3,i
4,many
5,times
6,hurt
7,myself
8,today
9,worst
10,part
11,there's
12,noone
13,else
14,blame
15,my
16,friend
17,hold
18,me
19,wrap
20,me
21,enfold
22,me
23,i
24,small
25,needy
26,warm
27,me
28,breathe
29,me
30,ouch
31,i
32,lost
33,myself
34,lost
35,myself
36,i
37,nowhere
38,found
39,yeah
40,i
41,think
42,i
43,might
44,break
45,lost
46,myself
47,i
48,feel
49,unsafe
50,my
51,friend
52,hold
53,me
54,wrap
55,me
56,enfold
57,me
58,i
59,small
60,needy
61,warm
62,me
63,breathe
64,me
65,my
66,friend
67,hold
68,me
69,wrap
70,me
71,enfold
72,me
73,i
74,small
75,needy
76,warm
77,me
78,breathe
79,me
