,Say Yes_Elliott Smith
0,i'm
1,love
2,world
3,eyes
4,girl
5,who's
6,still
7,around
8,morning
9,broke
10,month
11,ago
12,i
13,grew
14,i
15,know
16,i'd
17,around
18,morning
19,always
20,wait
21,see
22,happy
23,day
24,you
25,pay
26,feel
27,like
28,shit
29,morning
30,i
31,feel
32,changed
33,around
34,instead
35,falling
36,i'm
37,standing
38,morning
39,situations
40,get
41,fucked
42,turned
43,around
44,sooner
45,later
46,i
47,could
48,another
49,fool
50,exception
51,rule
52,you
53,tell
54,me
55,morning
56,crooked
57,spin
58,can't
59,come
60,rest
61,i'm
62,damaged
63,bad
64,best
65,she'll
66,decide
67,she
68,wants
69,i'll
70,probably
71,last
72,know
73,one
74,says
75,shows
76,see
77,want
78,you
79,say
80,yes
81,i'm
82,love
83,world
84,eyes
85,girl
86,who's
87,still
88,around
89,morning
