,Raining In Baltimore_Counting Crows
0,circus
1,falling
2,knees
3,big
4,top
5,crumbling
6,raining
7,baltimore
8,fifteen
9,miles
10,east
11,one's
12,around
13,need
14,phone
15,call
16,need
17,raincoat
18,need
19,big
20,love
21,need
22,phone
23,call
24,train
25,conversations
26,passing
27,nothing
28,say
29,get
30,pay
31,intention
32,living
33,way
34,need
35,phone
36,call
37,need
38,plane
39,ride
40,need
41,sunburn
42,need
43,raincoat
44,get
45,answers
46,get
47,change
48,raining
49,baltimore
50,baby
51,everything
52,else
53,there's
54,things
55,remember
56,things
57,forget
58,miss
59,guess
60,three
61,thousand
62,five
63,hundred
64,miles
65,away
66,would
67,change
68,could
69,need
70,phone
71,call
72,maybe
73,buy
74,new
75,car
76,always
77,hear
78,freight
79,train
80,baby
81,listen
82,real
83,hard
84,wish
85,wish
86,small
87,world
88,i'm
89,lonely
90,big
91,towns
92,i'd
93,like
94,hear
95,little
96,guitar
97,guess
98,time
99,put
100,top
101,need
102,phone
103,call
104,need
105,raincoat
106,really
107,need
108,raincoat
109,really
110,really
111,need
112,raincoat
113,really
114,really
115,really
116,need
117,raincoat
118,really
119,need
120,raincoat
