,Is This Love_Whitesnake
0,known
1,better
2,let
3,go
4,alone
5,times
6,like
7,can't
8,make
9,wasted
10,days
11,sleepless
12,nights
13,can't
14,wait
15,see
16,find
17,spend
18,time
19,waiting
20,call
21,tell
22,babe
23,back's
24,wall
25,need
26,side
27,tell
28,"""it's"
29,"alright"""
30,'cause
31,think
32,take
33,anymore
34,love
35,i'm
36,feeling
37,love
38,i've
39,searching
40,love
41,dreaming
42,must
43,love
44,cause
45,really
46,got
47,hold
48,hold
49,can't
50,stop
51,feeling
52,i've
53,way
54,i've
55,found
56,key
57,open
58,door
59,feel
60,love
61,growing
62,stronger
63,day
64,day
65,can't
66,wait
67,see
68,hold
69,arms
70,love
71,i'm
72,feeling
73,love
74,i've
75,searching
76,love
77,dreaming
78,must
79,love
80,cause
81,really
82,got
83,hold
84,hold
85,guitar
86,solo
87,love
88,i'm
89,feeling
90,love
91,i've
92,searching
93,love
94,dreaming
95,love
96,i've
97,searching
98,love
99,dreaming
100,love
101,i've
102,searching
103,love
104,dreaming
105,love
106,i've
107,searching
108,outro
109,love
110,love
