,Stop Crying Your Heart Out_Oasis
0,hold
1,hold
2,scared
3,never
4,change
5,what's
6,gone
7,may
8,smile
9,may
10,smile
11,shine
12,shine
13,scared
14,scared
15,destiny
16,may
17,keep
18,warm
19,'cause
20,stars
21,fading
22,away
23,try
24,worry
25,see
26,someday
27,take
28,need
29,way
30,stop
31,crying
32,heart
33,get
34,get
35,come
36,come
37,why're
38,scared
39,i'm
40,scared
41,never
42,change
43,what's
44,gone
45,'cause
46,stars
47,fading
48,away
49,try
50,worry
51,see
52,someday
53,take
54,need
55,way
56,stop
57,crying
58,heart
59,'cause
60,stars
61,fading
62,away
63,try
64,worry
65,see
66,someday
67,take
68,need
69,way
70,stop
71,crying
72,heart
73,we're
74,us
75,stars
76,we're
77,fading
78,away
79,try
80,worry
81,see
82,us
83,someday
84,take
85,need
86,way
87,stop
88,crying
89,heart
90,stop
91,crying
92,heart
93,stop
94,crying
95,heart
96,stop
97,crying
98,heart
99,stop
100,crying
101,heart
