,Saving All My Love for You_Whitney Houston
0,stolen
1,moments
2,shared
3,you've
4,got
5,your
6,family
7,need
8,you
9,though
10,i
11,try
12,resist
13,last
14,your
15,list
16,man's
17,gonna
18,i'm
19,saving
20,my
21,love
22,you
23,easy
24,living
25,alone
26,my
27,friends
28,try
29,tell
30,me
31,find
32,man
33,my
34,time
35,i
36,try
37,i
38,break
39,cry
40,'cause
41,i'd
42,rather
43,home
44,feeling
45,blue
46,i'm
47,saving
48,my
49,love
50,you
51,you
52,used
53,tell
54,me
55,we'd
56,run
57,away
58,together
59,love
60,gives
61,you
62,right
63,free
64,you
65,said
66,patient
67,wait
68,little
69,longer
70,that's
71,old
72,fantasy
73,i've
74,got
75,get
76,ready
77,minutes
78,gonna
79,get
80,old
81,feeling
82,you
83,walk
84,door
85,'cause
86,tonight
87,night
88,feeling
89,alright
90,we'll
91,making
92,love
93,whole
94,night
95,i'm
96,saving
97,my
98,love
99,yes
100,i'm
101,saving
102,my
103,love
104,yes
105,i'm
106,saving
107,my
108,love
109,you
110,woman
111,gonna
112,love
113,you
114,'cause
115,tonight
116,night
117,i'm
118,feeling
119,alright
120,we'll
121,making
122,love
123,whole
124,night
125,i'm
126,saving
127,my
128,love
129,yeah
130,i'm
131,saving
132,my
133,loving
134,yes
135,i'm
136,saving
137,my
138,love
139,you
140,you
141,you
