,Love Dog_TV on the Radio
0,lonely
1,little
2,love
3,dog
4,one
5,knows
6,name
7,know
8,cry
9,desperate
10,devout
11,timid
12,little
13,tether
14,eyes
15,set
16,ether
17,moon
18,belle
19,luna
20,howling
21,hallelujah
22,nameless
23,come
24,lay
25,low
26,love
27,lonely
28,little
29,love
30,dog
31,one
32,knows
33,name
34,curse
35,free
36,wrap
37,reverse
38,patience
39,virtue
40,silence
41,burns
42,something
43,slow
44,started
45,shameless
46,ocean
47,mirrored
48,devotion
49,something
50,slow
51,sparked
52,dog
53,cries
54,master
55,sparks
56,whirling
57,faster
58,lonely
59,little
60,love
61,dog
62,one
63,knows
64,ways
65,land
66,low
67,bones
68,show
69,lonely
70,little
71,love
72,dog
73,one
74,knows
75,days
76,land
77,low
78,water
79,flows
80,holds
