,Let Me Kiss You_Morrissey
0,there's
1,place
2,sun
3,anyone
4,chase
5,one
6,i
7,think
8,i've
9,found
10,mine
11,yes
12,i
13,believe
14,i
15,found
16,mine
17,close
18,your
19,eyes
20,think
21,someone
22,you
23,physically
24,admire
25,let
26,me
27,kiss
28,you
29,ohh
30,let
31,me
32,kiss
33,you
34,ohh
35,i've
36,zigzagged
37,america
38,i
39,cannot
40,find
41,safety
42,say
43,would
44,you
45,let
46,me
47,cry
48,your
49,shoulder
50,i've
51,heard
52,you'll
53,try
54,anything
55,twice
56,close
57,your
58,eyes
59,think
60,someone
61,you
62,physically
63,admire
64,let
65,me
66,kiss
67,you
68,ohh
69,let
70,me
71,kiss
72,you
73,ohh
74,you
75,open
76,your
77,eyes
78,you
79,see
80,someone
81,you
82,physically
83,despise
84,my
85,heart
86,open
87,my
88,heart
89,open
90,you
