,Brand New Day_Sting
0,many
1,people
2,hurt
3,kind
4,love
5,affair
6,many
7,times
8,swear
9,never
10,love
11,many
12,lonely
13,sleepless
14,nights
15,many
16,lies
17,many
18,fights
19,would
20,want
21,put
22,"""love"
23,"pain"""
24,hear
25,say
26,love
27,cruel
28,bitter
29,way
30,paying
31,back
32,faith
33,ever
34,brain
35,could
36,need
37,leave
38,feeling
39,like
40,ghost
41,never
42,want
43,feel
44,sad
45,lost
46,one
47,day
48,could
49,looking
50,old
51,book
52,rainy
53,weather
54,see
55,picture
56,smiling
57,still
58,together
59,could
60,walking
61,street
62,chance
63,meet
64,old
65,smile
66,thinking
67,day
68,turn
69,clock
70,zero
71,honey
72,i'll
73,sell
74,stock
75,we'll
76,spend
77,money
78,we're
79,starting
80,brand
81,new
82,day
83,turn
84,clock
85,way
86,back
87,wonder
88,she'll
89,take
90,back
91,i'm
92,thinking
93,brand
94,new
95,way
96,turn
97,clock
98,zero
99,sister
100,never
101,know
102,much
103,missed
104,starting
105,brand
106,new
107,day
108,turn
109,clock
110,zero
111,boss
112,river's
113,wide
114,we'll
115,swim
116,across
117,started
118,brand
119,new
120,day
121,could
122,happen
123,-
124,like
125,happened
126,there's
127,simply
128,immunity
129,-
130,there's
131,guarantee
132,say
133,love's
134,force
135,-
136,find
137,sometimes
138,reflection
139,baby
140,wait
141,minute
142,wait
143,minute
144,wait
145,minute
146,wait
147,minute
148,wait
149,minute
150,wait
151,minute
152,wait
153,minute
154,wait
155,minute
156,turn
157,clock
158,zero
159,honey
160,i’ll
161,sell
162,stock
163,we’ll
164,spend
165,money
166,we’re
167,starting
168,brand
169,new
170,day
171,turn
172,clock
173,zero
174,mac
175,begging
176,take
177,back
178,i’m
179,thinking
180,brand
181,new
182,way
183,turn
184,clock
185,zero
186,boss
187,river’s
188,wide
189,we’ll
190,swim
191,across
192,started
193,brand
194,new
195,day
196,turn
197,clock
198,zero
199,buddy
200,don’t
201,wanna
202,fuddy-duddy
203,started
204,brand
205,new
206,day
207,bridge
208,i'm
209,rhythm
210,tune
211,i'm
212,sun
213,moon
214,i'm
215,bat
216,cave
217,beach
218,i'm
219,wave
220,i’m
221,plow
222,you’re
223,land
224,glove
225,i'm
226,hand
227,i'm
228,train
229,station
230,i'm
231,flagpole
232,nation
233,-
234,yeah
235,bridge
236,i’m
237,present
238,future
239,you’re
240,wound
241,i’m
242,suture
243,you’re
244,magnet
245,pole
246,i’m
247,devil
248,soul
249,you’re
250,pupil
251,i’m
252,teacher
253,you’re
254,church
255,i’m
256,preacher
257,you’re
258,flower
259,i’m
260,rain
261,you’re
262,tunnel
263,i’m
264,train
265,outro
266,stand
267,lovers
268,world
269,stand
270,counted
271,every
272,boy
273,every
274,girl
275,stand
276,lovers
277,world
278,starting
279,brand
280,new
281,day
282,bridge
283,you’re
284,crop
285,rotation
286,you’re
287,sum
288,equation
289,i’m
290,answer
291,question
292,follow
293,suggestion
294,turn
295,ship
296,around
297,we’ll
298,go
299,instead
300,you’re
301,stair
302,i’m
303,handle
304,you’re
305,flame
306,i’m
307,candle
308,stand
309,lovers
310,world
311,stand
312,counted
313,every
314,boy
315,every
316,girl
317,stand
318,lovers
319,world
320,we're
321,starting
322,brand
323,new
324,day
325,brand
326,new
327,day
328,brand
329,new
330,day
331,brand
332,new
333,day
