,Should've Said No_Taylor Swift
0,strange
1,think
2,songs
3,used
4,sing
5,smiles
6,flowers
7,everything
8,gone
9,yesterday
10,i
11,found
12,you
13,even
14,looking
15,you
16,feels
17,wrong
18,prechorus
19,you
20,say
21,you'd
22,take
23,back
24,given
25,one
26,chance
27,moment
28,weakness
29,you
30,said
31,yes
32,you
33,said
34,you
35,gone
36,home
37,you
38,thought
39,twice
40,'fore
41,you
42,let
43,go
44,you
45,known
46,word
47,'bout
48,you
49,her’d
50,get
51,back
52,me
53,get
54,back
55,me
56,i
57,back
58,your
59,mind
60,i
61,asking
62,myself
63,you
64,begging
65,forgiveness
66,my
67,feet
68,you
69,said
70,baby
71,you
72,might
73,still
74,me
75,you
76,see
77,i've
78,crying
79,baby
80,you
81,know
82,right
83,things
84,say
85,you
86,honestly
87,expect
88,me
89,believe
90,could
91,ever
92,prechorus
93,you
94,say
95,past
96,past
97,you
98,need
99,one
100,chance
101,moment
102,weakness
103,you
104,said
105,yes
106,you
107,said
108,you
109,gone
110,home
111,you
112,thought
113,twice
114,'fore
115,you
116,let
117,go
118,you
119,known
120,word
121,'bout
122,you
123,her’d
124,get
125,back
126,me
127,get
128,back
129,me
130,i
131,back
132,your
133,mind
134,i
135,asking
136,myself
137,you
138,begging
139,forgiveness
140,my
141,feet
142,you
143,said
144,baby
145,you
146,might
147,still
148,me
149,i
150,can't
151,resist
152,you
153,go
154,tell
155,me
156,worth
157,she
158,worth
159,you
160,said
161,you
162,gone
163,home
164,you
165,thought
166,twice
167,'fore
168,you
169,let
170,go
171,you
172,known
173,word
174,'bout
175,you
176,her’d
177,get
178,back
179,me
180,get
181,back
182,me
183,i
184,back
185,your
186,mind
187,i
188,asking
189,myself
190,you
191,begging
192,forgiveness
193,my
194,feet
195,you
196,said
197,baby
198,you
199,might
200,still
201,me
