,Can't Buy Me Love_The Beatles
0,can't
1,buy
2,love
3,love
4,can't
5,buy
6,love
7,i'll
8,buy
9,diamond
10,ring
11,friend
12,makes
13,feel
14,alright
15,i'll
16,get
17,anything
18,friend
19,makes
20,feel
21,alright
22,'cause
23,care
24,much
25,money
26,money
27,can't
28,buy
29,love
30,i'll
31,give
32,i've
33,got
34,give
35,say
36,love
37,may
38,lot
39,give
40,got
41,i'll
42,give
43,care
44,much
45,money
46,money
47,can't
48,buy
49,love
50,can't
51,buy
52,love
53,everybody
54,tells
55,can't
56,buy
57,love
58,no-no-no
59,say
60,need
61,diamond
62,rings
63,i'll
64,satisfied
65,tell
66,want
67,kind
68,things
69,money
70,can't
71,buy
72,care
73,much
74,money
75,money
76,can't
77,buy
78,love
79,ow
80,guitar
81,solo
82,paul
83,mccartney
84,buy
85,love
86,everybody
87,tells
88,can't
89,buy
90,love
91,no-no-no
92,say
93,need
94,diamond
95,rings
96,i'll
97,satisfied
98,tell
99,want
100,kind
101,things
102,money
103,can't
104,buy
105,care
106,much
107,money
108,money
109,can't
110,buy
111,love
112,can't
113,buy
114,love
115,love
116,can't
117,buy
118,love
