,Red_Taylor Swift
0,loving
1,him
2,like
3,driving
4,new
5,maserati
6,deadend
7,street
8,faster
9,wind
10,passionate
11,sin
12,ending
13,suddenly
14,loving
15,him
16,like
17,trying
18,change
19,your
20,mind
21,you're
22,already
23,flying
24,free
25,fall
26,like
27,colors
28,autumn
29,bright
30,lose
31,losing
32,him
33,blue
34,like
35,i'd
36,never
37,known
38,missing
39,him
40,dark
41,grey
42,alone
43,forgetting
44,him
45,like
46,trying
47,know
48,somebody
49,you
50,never
51,met
52,loving
53,him
54,red
55,loving
56,him
57,red
58,touching
59,him
60,like
61,realizing
62,you
63,ever
64,wanted
65,right
66,front
67,you
68,memorizing
69,him
70,easy
71,knowing
72,words
73,your
74,old
75,favorite
76,song
77,fighting
78,him
79,like
80,trying
81,solve
82,crossword
83,realizing
84,there's
85,right
86,answer
87,regretting
88,him
89,like
90,wishing
91,you
92,never
93,found
94,love
95,could
96,strong
97,losing
98,him
99,blue
100,like
101,i'd
102,never
103,known
104,missing
105,him
106,dark
107,grey
108,alone
109,forgetting
110,him
111,like
112,trying
113,know
114,somebody
115,you
116,never
117,met
118,loving
119,him
120,red
121,oh
122,red
123,burning
124,red
125,remembering
126,him
127,comes
128,flashbacks
129,echoes
130,tell
131,myself
132,time
133,gotta
134,let
135,go
136,moving
137,him
138,impossible
139,i
140,still
141,see
142,my
143,head
144,burning
145,red
146,loving
147,him
148,red
149,oh
150,losing
151,him
152,blue
153,like
154,i'd
155,never
156,known
157,missing
158,him
159,dark
160,grey
161,alone
162,forgetting
163,him
164,like
165,trying
166,know
167,somebody
168,you
169,never
170,met
171,'cause
172,loving
173,him
174,red
175,yeah
176,yeah
177,red
178,we're
179,burning
180,red
181,breakdown
182,that's
183,he's
184,spinning
185,'round
186,my
187,head
188,comes
189,back
190,me
191,burning
192,red
193,yeah
194,yeah
195,his
196,love
197,like
198,driving
199,new
200,maserati
201,deadend
202,street
