,I Have Friends in Holy Spaces_Panic! at the Disco
0,you
1,remind
2,me
3,former
4,love
5,i
6,knew
7,you
8,carry
9,little
10,piece
11,you
12,holding
13,hands
14,walking
15,middle
16,street
17,fine
18,me
19,i'm
20,taking
21,scenery
22,you
23,remind
24,me
25,my
26,famous
27,friends
28,well
29,depends
30,you
31,qualify
32,friends
33,you
34,remind
35,me
36,my
37,famous
38,friends
39,well
40,depends
41,you
42,qualify
43,friends
44,take
45,chance
46,take
47,your
48,shoes
49,dance
50,rain
51,yeah
52,we're
53,splashing
54,around
55,news
56,spread
57,town
58,i'm
59,complaining
60,raining
61,i'm
62,saying
63,i'd
64,like
65,lot
66,you'd
67,think
68,sun
69,would
70,come
71,sing
72,me
73,you
74,remind
75,me
76,my
77,famous
78,friends
79,well
80,depends
81,you
82,qualify
83,friends
84,you
85,remind
86,me
87,my
88,famous
89,friends
90,well
91,depends
92,you
93,qualify
94,friends
95,hey
96,moon
97,hey
98,moon
99,hey
100,moon
101,hey
102,moon
103,hey
104,moon
105,hey
106,moon
107,hey
108,moon
109,hey
110,moon
111,hey
112,moon
113,hey
114,moon
