,Back to You_John Mayer
0,back
1,you
2,always
3,comes
4,around
5,back
6,you
7,i
8,tried
9,forget
10,you
11,i
12,tried
13,stay
14,away
15,late
16,you
17,i'm
18,never
19,you
20,something
21,you
22,way
23,you
24,move
25,way
26,you
27,move
28,me
29,yeah
30,i'm
31,good
32,forgetting
33,i
34,quit
35,every
36,game
37,i
38,play
39,forgive
40,me
41,love
42,i
43,can't
44,turn
45,walk
46,away
47,way
48,back
49,you
50,always
51,comes
52,around
53,back
54,you
55,i
56,walk
57,your
58,shadow
59,i'm
60,sleeping
61,my
62,bed
63,your
64,silhouette
65,yeah
66,smiled
67,picture
68,last
69,i'll
70,see
71,you
72,least
73,you
74,could
75,leave
76,light
77,i'll
78,never
79,give
80,you
81,leave
82,light
83,me
84,me
85,me
86,yeah
87,back
88,me
89,i
90,know
91,comes
92,back
93,me
94,scare
95,you
96,your
97,strong
98,used
