,...Ready For It?_Taylor Swift
0,knew
1,he
2,killer
3,first
4,time
5,i
6,saw
7,him
8,wondered
9,many
10,girls
11,he
12,loved
13,left
14,haunted
15,he's
16,ghost
17,i
18,phantom
19,holdin'
20,him
21,ransom
22,boys
23,tryin'
24,hard
25,he
26,try
27,though
28,younger
29,my
30,exes
31,he
32,act
33,like
34,man
35,i
36,see
37,nothing
38,better
39,i
40,keep
41,him
42,forever
43,like
44,vendettata
45,prechorus
46,i
47,i
48,i
49,see
50,gon'
51,go
52,touch
53,me
54,you'll
55,never
56,alone
57,iisland
58,breeze
59,lights
60,low
61,one
62,know
63,middle
64,night
65,my
66,dreams
67,you
68,see
69,things
70,baby
71,middle
72,night
73,my
74,dreams
75,i
76,know
77,i'm
78,gonna
79,you
80,i
81,take
82,my
83,time
84,you
85,ready
86,knew
87,i
88,robber
89,first
90,time
91,he
92,saw
93,me
94,stealing
95,hearts
96,running
97,never
98,sayin'
99,sorry
100,i'm
101,thief
102,he
103,join
104,heist
105,we'll
106,move
107,island
108,he
109,my
110,jailer
111,burton
112,taylor
113,every
114,love
115,i've
116,known
117,comparison
118,failure
119,i
120,forget
121,names
122,i'm
123,tame
124,never
125,prechorus
126,i
127,i
128,i
129,see
130,gon'
131,go
132,touch
133,me
134,you'll
135,never
136,alone
137,iisland
138,breeze
139,lights
140,low
141,one
142,know
143,one
144,know
145,middle
146,night
147,my
148,dreams
149,you
150,see
151,things
152,baby
153,middle
154,night
155,my
156,dreams
157,i
158,know
159,i'm
160,gonna
161,you
162,i
163,take
164,my
165,time
166,you
167,ready
168,oh
169,you
170,ready
171,postchorus
172,baby
173,let
174,games
175,begin
176,let
177,games
178,begin
179,let
180,games
181,begin
182,baby
183,let
184,games
185,begin
186,let
187,games
188,begin
189,let
190,games
191,begin
192,prechorus
193,i
194,i
195,i
196,see
197,gon'
198,go
199,touch
200,me
201,you'll
202,never
203,alone
204,iisland
205,breeze
206,lights
207,low
208,one
209,know
210,middle
211,night
212,night
213,my
214,dreams
215,my
216,dreams
217,you
218,see
219,things
220,baby
221,baby
222,hmm
223,eh
224,middle
225,night
226,my
227,dreams
228,my
229,dreams
230,i
231,know
232,i'm
233,gonna
234,you
235,i
236,know
237,i'm
238,gonna
239,you
240,i
241,take
242,my
243,time
244,middle
245,night
246,postchorus
247,baby
248,let
249,games
250,begin
251,let
252,games
253,begin
254,let
255,games
256,begin
257,you
258,ready
259,baby
260,let
261,games
262,begin
263,let
264,games
265,begin
266,let
267,games
268,begin
269,you
270,ready
